timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],thrust[0],thrust[1],thrust[2]
527144272,nan,nan,nan,0.25334296,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
527248239,nan,nan,nan,0.253294,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
527347569,nan,nan,nan,0.2532543,0.0,0.006161492,0.027616356,2.3365397,-0.1801742,-0.32784554,9.621651,0.0,0.0,0.0,-0.00017645118,-0.00032107113,-0.009604267
527446660,nan,nan,nan,0.2532543,0.0,0.0011625056,0.0052104536,2.1561787,-0.07722247,-0.16650178,9.376137,0.0,0.0,0.0,-0.00017600952,-0.00037949966,-0.02235014
527545635,8.438037,-1.3127794,nan,0.2532543,0.0,-0.00040678977,0.0011666893,1.9763248,0.07823144,-0.20650312,8.842983,0.0,0.0,0.0,0.00039915237,-0.0010536201,-0.050028842
527645030,8.438037,-1.3127794,nan,0.2532543,0.0,-0.0010319232,0.0016697407,1.7957021,0.048864637,-0.13811319,8.506906,0.0,0.0,0.0,0.000336147,-0.0009501007,-0.06747634
527744137,8.438037,-1.3127794,nan,0.2532543,0.0,-0.0014985084,0.0028360903,1.6157646,0.0125519205,-0.12394206,8.204406,0.0,0.0,0.0,0.00010652437,-0.0010518589,-0.083180636
527848152,8.438037,-1.3127794,nan,0.2532543,0.0,-0.002033043,0.0041015325,1.4268298,0.043482453,0.03290754,7.815613,0.0,0.0,0.0,0.00045887058,0.00034727348,-0.103364855
527947353,8.438037,-1.3127794,nan,0.2532543,0.0,-0.0016643048,0.0063038827,1.2463961,0.007781403,-0.043828152,7.511155,0.0,0.0,0.0,9.46056e-05,-0.0005328587,-0.11917079
528046385,8.438037,-1.3127794,nan,0.2532543,0.0,-0.000578928,0.008733636,1.0663604,0.011842862,-0.07575569,6.8280473,0.0,0.0,0.0,0.000186779,-0.0011947764,-0.15463439
528145572,8.438037,-1.3127794,nan,0.2532543,0.0,-0.00010418892,0.0115428865,0.8861738,-0.012690047,-0.026673608,6.3258224,0.0,0.0,0.0,-0.00023213413,-0.00048793008,-0.18070742
528244618,8.438037,-1.3127794,nan,0.2532543,0.0,-0.00018572807,0.01460638,0.70613265,0.0026011965,-0.034163516,5.748414,0.0,0.0,0.0,5.6048222e-05,-0.0007361244,-0.21068363
528343891,8.438037,-1.3127794,nan,0.2532543,0.0,0.00062060356,0.017329108,0.5258681,-0.024482593,0.016816482,5.1754007,0.0,0.0,0.0,-0.0005965282,0.0004097403,-0.24043165
528447882,8.438037,-1.3127794,nan,0.2532543,0.0,0.0021979332,0.019948553,0.33698818,-0.015675522,0.018241942,4.474181,0.0,0.0,0.0,-0.00044049078,0.00051260856,-0.27683553
528547160,8.438037,-1.3127794,nan,0.2532543,0.0,0.003844118,0.022464942,0.15634021,0.030676987,0.029219843,3.92545,0.0,0.0,0.0,0.00095645105,0.00091102003,-0.30532295
528646094,8.438037,-1.3127794,nan,0.2532543,0.0,0.0056053638,0.023975909,-0.023457384,-0.00076393783,0.07675755,3.365847,0.0,0.0,0.0,-2.6049267e-05,0.0026173303,-0.33437476
528745277,8.438037,-1.3127794,nan,0.2532543,0.0,0.0076619624,0.02697655,-0.20369479,0.009031719,0.029135933,2.3011837,0.0,0.0,0.0,0.0003584994,0.0011565036,-0.38964683
528844393,8.438037,-1.3127794,nan,0.2532543,0.0,0.010626364,0.031590305,-0.38378906,0.07729742,0.0942859,1.8557639,0.0,0.0,0.0,0.0032542122,0.003969425,-0.41277084
528944098,8.438037,-1.3127794,nan,0.2532543,0.0,0.01449585,0.037817974,-0.5645826,0.13534766,0.16163364,0.8036895,0.0,0.0,0.0,0.0064512384,0.0077041388,-0.46738935
529047836,8.438037,-1.3127794,nan,0.2532543,0.0,0.019218778,0.046158522,-0.75350595,0.16161987,0.23756976,0.2759595,0.0,0.0,0.0,0.0081545,0.011986537,-0.4947865
529146727,8.438037,-1.3127794,nan,0.2532543,0.0,0.025221871,0.05538264,-0.9332125,0.23767102,0.2736642,0.06443763,0.0,0.0,0.0,0.012257065,0.014113289,-0.50576764
529245780,8.438037,-1.3127794,nan,0.2532543,0.0,0.032169007,0.06537277,-1.1131934,0.23489481,0.3169303,-0.25242496,0.0,0.0,0.0,0.012508114,0.016876489,-0.52221763
529344940,8.438037,-1.3127794,nan,0.2532543,0.0,0.037038706,0.07545803,-1.2934095,0.24388379,0.38581297,-0.7438183,0.0,0.0,0.0,0.013621387,0.021548409,-0.54772836
529444231,8.438037,-1.3127794,nan,0.2532543,0.0,0.040553045,0.085592784,-1.4736854,0.27543414,0.38511965,-0.9323795,0.0,0.0,0.0,0.015658528,0.021894187,-0.5575175
529548389,8.438037,-1.3127794,nan,0.2532543,0.0,0.049793243,0.09338758,-1.5,0.3801126,0.43978247,-0.5769141,0.0,0.0,0.0,0.020894516,0.024174524,-0.5390635
