timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
523239403,0.0,0.0,0.25777423,0.0,0.99170554,0.0,0.0,0.12853056,0.0,0.0,-0.001,0,0,0,0,0
523297861,0.0,0.0,0.25773013,0.0,0.9917084,0.0,0.0,0.12850872,0.0,0.0,-0.001,0,0,0,0,0
523347698,0.0,0.0,0.25762883,0.0,0.9917149,0.0,0.0,0.12845847,0.0,0.0,-0.001,0,0,0,0,0
523397153,0.0,0.0,0.25769022,0.0,0.99171096,0.0,0.0,0.12848894,0.0,0.0,-0.001,0,0,0,0,0
523446459,0.0,0.0,0.2576054,0.0,0.9917164,0.0,0.0,0.12844686,0.0,0.0,-0.001,0,0,0,0,0
523496467,0.0,0.0,0.25761154,0.0,0.99171597,0.0,0.0,0.1284499,0.0,0.0,-0.001,0,0,0,0,0
523546059,0.0,0.0,0.2576876,0.0,0.99171114,0.0,0.0,0.1284876,0.0,0.0,-0.001,0,0,0,0,0
523595884,0.0,0.0,0.25749794,0.0,0.9917233,0.0,0.0,0.12839356,0.0,0.0,-0.001,0,0,0,0,0
523644926,0.0,0.0,0.25737,0.0,0.99173146,0.0,0.0,0.12833014,0.0,0.0,-0.001,0,0,0,0,0
523694508,0.0,0.0,0.25744155,0.0,0.99172693,0.0,0.0,0.1283656,0.0,0.0,-0.001,0,0,0,0,0
523744179,0.0,0.0,0.2572337,0.0,0.9917403,0.0,0.0,0.12826256,0.0,0.0,-0.001,0,0,0,0,0
523793697,0.0,0.0,0.25715744,0.0,0.9917451,0.0,0.0,0.12822473,0.0,0.0,-0.001,0,0,0,0,0
523847931,0.0,0.0,0.25730297,0.0,0.9917358,0.0,0.0,0.1282969,0.0,0.0,-0.001,0,0,0,0,0
523892937,0.0,0.0,0.25732237,0.0,0.99173456,0.0,0.0,0.12830651,0.0,0.0,-0.001,0,0,0,0,0
523947066,0.0,0.0,0.2572571,0.0,0.99173874,0.0,0.0,0.12827416,0.0,0.0,-0.001,0,0,0,0,0
523996960,0.0,0.0,0.25755525,0.0,0.99171966,0.0,0.0,0.12842199,0.0,0.0,-0.001,0,0,0,0,0
524046597,0.0,0.0,0.25735924,0.0,0.99173224,0.0,0.0,0.12832479,0.0,0.0,-0.001,0,0,0,0,0
524096180,0.0,0.0,0.2576754,0.0,0.9917119,0.0,0.0,0.12848157,0.0,0.0,-0.001,0,0,0,0,0
524145630,0.0,0.0,0.25718287,0.0,0.9917435,0.0,0.0,0.12823734,0.0,0.0,-0.001,0,0,0,0,0
524195356,0.0,0.0,0.25810313,0.0,0.9916844,0.0,0.0,0.12869364,0.0,0.0,-0.001,0,0,0,0,0
524244697,0.0,0.0,0.2571566,0.0,0.9917452,0.0,0.0,0.12822433,0.0,0.0,-0.001,0,0,0,0,0
524294219,0.0,0.0,0.25767764,0.0,0.9917118,0.0,0.0,0.12848268,0.0,0.0,-0.001,0,0,0,0,0
524343885,0.0,0.0,0.2571794,0.0,0.99174374,0.0,0.0,0.12823562,0.0,0.0,-0.001,0,0,0,0,0
524384881,0.0,0.0,0.25692263,0.0,0.9917602,0.0,0.0,0.12810831,0.0,0.0,-0.001,0,0,0,0,0
524443251,0.0,0.0,0.25746098,0.0,0.9917257,0.0,0.0,0.12837523,0.0,0.0,-0.001,0,0,0,0,0
524497546,0.0,0.0,0.25739312,0.0,0.99173003,0.0,0.0,0.12834159,0.0,0.0,-0.001,0,0,0,0,0
524546769,0.0,0.0,0.25708476,0.0,0.9917498,0.0,0.0,0.12818868,0.0,0.0,-0.001,0,0,0,0,0
524596707,0.0,0.0,0.2574892,0.0,0.99172384,0.0,0.0,0.12838924,0.0,0.0,-0.001,0,0,0,0,0
524646186,0.0,0.0,0.25719926,0.0,0.9917425,0.0,0.0,0.12824546,0.0,0.0,-0.001,0,0,0,0,0
524695944,0.0,0.0,0.25657538,0.0,0.9917824,0.0,0.0,0.12793608,0.0,0.0,-0.001,0,0,0,0,0
524745543,0.0,0.0,0.25679484,0.0,0.9917684,0.0,0.0,0.12804493,0.0,0.0,-0.001,0,0,0,0,0
524794777,0.0,0.0,0.2570743,0.0,0.9917505,0.0,0.0,0.12818351,0.0,0.0,-0.001,0,0,0,0,0
