timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
538247621,0.022813909,0.0065963343,-0.01758436,0.0
538449031,0.015312033,0.0005628912,-0.01747166,0.0
538648952,0.013798221,-0.00869719,-0.017963734,0.0
538847384,0.010420474,-0.008568891,-0.018970566,0.0
539047298,0.005586811,-0.00274069,-0.02025415,0.0
539248723,0.008218833,0.0030209236,-0.021212626,0.0
539445636,0.010878341,0.0027046946,-0.020788629,0.0
539648572,0.021599442,0.006649104,-0.019066181,0.0
539848491,0.012377445,0.0018870914,-0.018428136,0.0
540048412,0.014287806,0.0017931488,-0.018983811,0.0
540248332,0.019907467,-0.0015015486,-0.020625524,0.0
540448278,0.016854549,-0.0023543045,-0.02184168,0.0
540646677,0.0015956423,-0.004969588,-0.022327865,0.0
540846605,0.004647304,0.0011432695,-0.022589922,0.0
541049520,0.0086582005,0.005987835,-0.022428876,0.0
541249451,0.009572043,0.006956103,-0.021319458,0.0
541447861,-0.0024201744,0.008333172,-0.018835036,0.0
541647784,-0.012794206,0.011571504,-0.015845701,0.0
541847711,-0.018491212,0.012201454,-0.012575725,0.0
542046131,-0.018026307,0.018060092,-0.011170518,0.0
542246048,-0.014884781,0.022694245,-0.011419698,0.0
542448987,-0.0068556424,0.029558418,-0.0111738425,0.0
542650404,-0.0023315833,0.029175907,-0.012392022,0.0
542848832,0.014108048,0.028081343,-0.013426317,0.0
543047235,0.022977524,0.03324733,-0.0146352565,0.0
543248666,0.034114417,0.034739673,-0.015841298,0.0
543447092,0.0424445,0.03188497,-0.017062265,0.0
543648520,0.052588135,0.03299024,-0.018347092,0.0
543849935,0.052380454,0.030979443,-0.018929483,0.0
544045342,0.062139597,0.031149814,-0.01871953,0.0
544248287,0.049453054,0.030921025,-0.018526101,0.0
544448197,0.040319808,0.03212503,-0.01849418,0.0
544648124,0.03293033,0.035051458,-0.018959371,0.0
544848038,0.0135846855,0.038527254,-0.019187964,0.0
545046467,0.003896369,0.040711798,-0.019435152,0.0
545247879,-0.0084784785,0.04325504,-0.019103862,0.0
545449315,-0.009008819,0.043521695,-0.01940222,0.0
545647731,-0.008016063,0.04566957,-0.02004644,0.0
545849147,-0.003634395,0.048000194,-0.020845383,0.0
546047579,0.0019707808,0.045408152,-0.021133987,0.0
546247490,0.005742606,0.050078887,-0.020815719,0.0
546447416,0.007907271,0.04765849,-0.02051118,0.0
546648845,0.010441978,0.04849109,-0.020302793,0.0
546845760,0.014529956,0.05216085,-0.020252012,0.0
547048678,0.01644767,0.044435475,-0.020507177,0.0
547248605,0.014924402,0.04128327,-0.020326698,0.0
547450024,0.023933293,0.052763887,-0.019881736,0.0
547646957,0.023834499,0.053737633,-0.019512668,0.0
547848380,0.023368739,0.05419699,-0.019438678,0.0
548046807,0.022742026,0.052330617,-0.019329678,0.0
548248218,0.023928288,0.052634794,-0.019336216,0.0
548448132,0.024956243,0.0449572,-0.019269045,0.0
548648060,0.027385259,0.04263816,-0.018718984,0.0
548847974,0.027348734,0.041531447,-0.01785623,0.0
549047897,0.02789092,0.044332072,-0.017065642,0.0
549246319,0.028277416,0.045837436,-0.015984628,0.0
549446258,0.031017778,0.048446327,-0.014291691,0.0
549649164,0.032562632,0.05093302,-0.011905819,0.0
549847595,0.035491623,0.058694907,-0.009349129,0.0
550047506,0.037241053,0.06130018,-0.010047623,0.0
550247433,0.039983936,0.06664856,-0.006827604,0.0
550447347,0.044932496,0.06930625,-0.004511499,0.0
550645766,0.04449909,0.073391005,-0.0022488001,0.0
550845688,0.045471296,0.082926825,0.00050129736,0.0
551048617,0.039501794,0.08083609,0.0018390925,0.0
551248548,0.043229047,0.07880791,0.00040496752,0.0
551448468,0.04756301,0.08005141,-0.004404026,0.0
551646884,0.050622646,0.079926595,-0.00731732,0.0
551848305,0.04866131,0.07437938,-0.006656567,0.0
552046740,0.05087838,0.06212793,-0.0048744576,0.0
552249650,0.04065572,0.06472786,-0.0041880766,0.0
552448071,0.036400884,0.061106272,-0.0051783393,0.0
552647996,0.035949774,0.040116087,-0.0059296265,0.0
552847921,0.022196786,0.042652085,-0.006802057,0.0
553047838,0.021359053,0.040246148,-0.008459036,0.0
553246251,0.01130047,0.040914815,-0.00830551,0.0
553446171,0.0036282174,0.043166306,-0.00809947,0.0
553646095,-0.0007887812,0.04437036,-0.008075194,0.0
553849018,-0.0007887812,0.04437036,-0.008075194,0.0
554048946,-0.0007887812,0.04437036,-0.008075194,0.0
554247358,-0.0007887812,0.04437036,-0.008075194,0.0
554447285,-0.0007887812,0.04437036,-0.008075194,0.0
554648720,-0.0007887812,0.04437036,-0.008075194,0.0
554845618,-0.0007887812,0.04437036,-0.008075194,0.0
555048548,-0.0007887812,0.04437036,-0.008075194,0.0
555248479,-0.0007887812,0.04437036,-0.008075194,0.0
555445384,-0.0007887812,0.04437036,-0.008075194,0.0
555648316,-0.0007887812,0.04437036,-0.008075194,0.0
555846723,-0.0007887812,0.04437036,-0.008075194,0.0
556046657,0.0,0.0,0.0,0.0
556246576,0.0,0.0,0.0,0.0
556449507,0.0,0.0,0.0,0.0
556646426,0.0,0.0,0.0,0.0
556847836,0.0,0.0,0.0,0.0
