timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
523447284,0.0,0.0,0.0,0.0
523647204,0.0,0.0,0.0,0.0
523847128,0.0,0.0,0.0,0.0
524047064,0.0,0.0,0.0,0.0
524249985,0.0,0.0,0.0,0.0
524448404,0.0,0.0,0.0,0.0
524645332,0.0,0.0,0.0,0.0
524848258,0.0,0.0,0.0,0.0
525048179,0.0,0.0,0.0,0.0
525246597,0.0,0.0,0.0,0.0
525446526,0.0,0.0,0.0,0.0
525649450,0.0,0.0,0.0,0.0
525846367,0.0,0.0,0.0,0.0
526047788,0.0,0.0,0.0,0.0
526247733,0.0,0.0,0.0,0.0
526447646,0.0,0.0,0.0,0.0
526646057,0.0,0.0,0.0,0.0
526847494,0.0,0.0,0.0,0.0
527048916,0.0,0.0,0.0,0.0
527248841,0.0,0.0,0.0,0.0
527448786,0.0,0.0012422847,-4.5326055e-05,0.0
527647176,0.0,0.004296119,-0.0001595507,0.0
527848609,-0.0050694323,0.007565486,7.228067e-05,0.0
528047025,-0.017698584,0.0155346375,8.909869e-05,0.0
528246957,-0.028619759,0.023391439,0.00010344562,0.0
528449877,-0.034933943,0.029453684,-0.0005756519,0.0
528645290,-0.032715295,0.031204058,-0.0014542595,0.0
528848226,-0.023151204,0.03038798,-0.0032959373,0.0
529048151,-0.008025709,0.027543262,-0.0050195083,0.0
529248087,-0.0008240498,0.020988096,-0.0072548897,0.0
529446487,0.0042216745,0.013289425,-0.008246183,0.0
529647921,0.010368007,0.008076739,-0.009187174,0.0
529846334,0.014036674,0.0042311326,-0.009523955,0.0
530049274,0.020585917,0.0016713829,-0.009719799,0.0
530249196,0.014197951,0.00073758996,-0.009737501,0.0
530447616,0.015274616,0.0038088392,-0.009504819,0.0
530647531,0.016260708,0.0059171966,-0.0101767145,0.0
530847466,0.016342051,0.0050921505,-0.011598693,0.0
531045887,0.016514592,0.006120657,-0.013037622,0.0
531248815,0.016442942,0.0075718705,-0.014243408,0.0
531445717,0.015294872,0.0035210757,-0.014458913,0.0
531648646,0.011065562,0.004528844,-0.014710007,0.0
531848594,0.0104443375,-0.005618231,-0.014898818,0.0
532046991,0.013694928,-0.005444834,-0.015310669,0.0
532246919,0.018162053,-0.010104463,-0.017268665,0.0
532448340,0.012429092,-0.014320269,-0.019018602,0.0
532645260,0.008453771,-0.010157553,-0.02036956,0.0
532848189,0.016802752,-0.011167984,-0.022492923,0.0
533048124,0.027885146,-0.0013378934,-0.023425395,0.0
533248032,0.01869288,-0.0072512934,-0.023228932,0.0
533447960,0.02106263,-0.008524002,-0.02240547,0.0
533646381,0.01899752,-0.008015699,-0.02185697,0.0
533846306,0.02182438,-0.01003709,-0.021809103,0.0
534049234,0.030667571,-0.0071364883,-0.021905284,0.0
534249161,0.02655873,-0.003354094,-0.020250132,0.0
534447600,0.012263298,-0.0038262215,-0.017955843,0.0
534647500,0.008285702,-0.0063214283,-0.017190114,0.0
534847423,0.0071136453,-0.006350417,-0.017371032,0.0
535047341,0.009515507,-0.0026264947,-0.01745234,0.0
535245759,0.016345102,-0.00085212005,-0.01692657,0.0
535445684,0.015737616,-0.005326131,-0.016477913,0.0
535648611,0.008479489,-0.0006386407,-0.015531442,0.0
535848533,0.019955702,0.0002050381,-0.014505979,0.0
536048466,-0.001007197,0.0029362708,-0.013506024,0.0
536246884,0.0034076648,0.0045712152,-0.01363462,0.0
536448303,0.02277169,0.00781641,-0.013368802,0.0
536646738,0.02196105,0.0067947903,-0.012219765,0.0
536849651,0.020161863,0.010888262,-0.011885888,0.0
537048070,0.018939266,0.011704302,-0.012738308,0.0
537247994,0.0206102,0.0143838525,-0.013286904,0.0
537447919,0.02562758,0.019192433,-0.014709292,0.0
537647836,0.02557281,0.013987511,-0.015920397,0.0
537846256,0.020124447,0.015271276,-0.016654182,0.0
538046185,0.02077593,0.010881823,-0.0173694,0.0
