timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
523245853,523245300,0.0015132063,-0.0026133673,-0.0038004513
523265387,523264829,0.0050916555,-0.0039994875,0.0013707937
523286436,523285873,0.0053401054,-0.001391155,-0.0070604603
523307486,523306921,0.0026173224,0.019313041,-0.0039307713
523328516,523327962,-0.009392139,-0.017968312,0.0026928843
523348076,523347506,0.0035312814,-0.02024834,-0.004292832
523367607,523367045,-0.023241194,0.014362109,0.0011322168
523388643,523388093,-0.01455169,-0.0052415794,-0.019141564
523405175,523404625,0.00468552,-0.0032125658,-0.0047421674
523426222,523425672,-0.0031205127,-0.008064387,0.0020366856
523447267,523446717,-0.018506225,0.0017248129,-0.013116126
523468321,523467759,0.017929934,0.012073995,-0.016990481
523486347,523485797,-0.005830951,0.0005286813,0.008617731
523507398,523506842,-0.014992496,-0.0046851533,-0.014163231
523528445,523527888,-0.008752793,0.012242717,0.007473281
523546481,523545926,0.02776966,0.0034134637,0.01364762
523566016,523565466,0.0047222273,-0.0074257907,-0.013140683
523587075,523586513,-0.00055815664,-0.01048974,0.013651189
523608121,523607572,0.004336363,-0.007866995,0.015395039
523626143,523625593,0.015427895,-0.008033194,-0.022658294
523647188,523646638,0.008484105,0.0062821014,0.03539399
523668243,523667685,0.0069422107,0.01331173,-0.026710534
523686288,523685727,0.00091225083,0.0082939705,-0.026532797
523708825,523708272,0.013320101,-0.02167879,0.02633084
523728367,523727810,0.018557932,0.020579332,-0.040475536
523747923,523747351,-0.032102324,-0.032594625,0.0074862153
523765941,523765390,0.027284507,-0.018192481,-0.0060378886
523786990,523786435,-0.024810543,-0.04500213,0.010807029
523808043,523807491,-0.061661966,0.0050498825,0.0037225154
523829081,523828524,0.021493288,0.08160788,-0.026655225
523847112,523846562,-0.008064514,-0.03394893,0.00016500667
523868166,523867608,-0.038965374,-0.047235776,0.029350162
523889203,523888651,-0.04500649,-0.058073226,-0.01666787
523907255,523906692,0.034699492,0.05439766,0.007953649
523926788,523926231,0.05319506,0.11516974,-0.00539723
523947836,523947279,0.047965623,-0.0665055,-0.0026829406
523968870,523968320,0.032876633,0.03745585,-0.018072886
523988431,523987864,0.0048533217,0.122058176,0.009626589
524012470,524011917,0.047417253,-0.01828072,-0.0029787137
524028991,524028446,0.033331238,0.009040537,0.0035976623
524045538,524044990,-0.049809396,0.15262933,-0.021752039
524066579,524066026,-0.08945917,-0.10080946,0.007221471
524087633,524087070,0.05367282,-0.015726898,-0.014703498
524108661,524108115,-0.03760895,0.09417488,0.010477472
524128205,524127657,0.06505386,-0.15745752,0.011011978
524147751,524147198,0.047646374,0.13618186,-0.046668243
524168794,524168242,-0.005282389,-0.15316173,0.048925888
524186835,524186284,0.0710156,-0.045675874,0.0017674253
524206367,524205822,0.00591823,0.11427952,-0.058712866
524227433,524226882,0.037293874,-0.184549,0.05022316
524248457,524247911,-0.0018454214,0.17890504,0.00069022045
524268001,524267456,-0.03275471,-0.13460645,0.009494737
524287542,524286994,0.081175804,0.08808129,-0.05654927
524308588,524308039,-0.07459448,-0.18880059,0.09004859
524326625,524326077,0.10853061,0.12626101,-0.05061948
524347673,524347124,-0.14807944,-0.13145013,0.013802141
524368712,524368166,0.16488354,0.056958187,-0.018179247
524389767,524389211,-0.12237146,-0.1185721,0.034137547
524406292,524405746,-0.052852355,-0.07930213,0.058468264
524427336,524426791,-0.07128794,-0.043296985,-0.021216283
524448387,524447835,0.14929052,0.033034816,-0.0051854937
524466426,524465875,0.06670643,0.08401805,-0.05321527
524487464,524486918,-0.03762687,0.020138403,0.0733726
524508509,524507963,-0.042863265,-0.08526105,-0.027051793
524529560,524529007,0.07636314,0.023911146,-0.017353965
524546097,524545545,0.23053418,0.053397723,-0.0026659216
524567133,524566587,-0.21435712,-0.01456588,0.05976351
524588180,524587632,0.050109908,0.013834025,-0.090769075
524606218,524605673,-0.25536135,-0.055655487,0.043327037
524628765,524628218,-0.12679514,0.037910398,-0.022405041
524645315,524644753,-0.27570668,0.05356892,-0.0025103237
524666344,524665798,0.071823835,-0.05219819,-0.07371606
524685884,524685339,-0.081601225,0.025816955,0.051416103
524706937,524706392,0.06546431,0.07700185,-0.05295271
524727974,524727429,0.06396831,-0.026721992,0.030931853
524746019,524745467,0.042193398,-0.056881987,-0.01611062
524768567,524768019,0.16330321,-0.076639235,0.06509791
524788111,524787566,-0.018640555,0.13085213,-0.055070017
524809149,524808600,0.04905539,-0.0657514,-0.019757682
524827184,524826639,0.013879714,0.083016135,-0.0017256509
524848242,524847683,-0.027068255,-0.14756899,0.07577497
524869284,524868728,0.01655957,0.11563602,-0.06857889
524885821,524885276,-0.23146346,-0.21122347,0.03191181
524908356,524907811,-0.036977172,-0.028452955,0.02969857
524927914,524927352,-0.067544945,-0.059995245,0.04908355
524948956,524948400,0.05682295,0.07563681,-0.077838495
524966981,524966436,-0.20406422,-0.17636251,0.033314075
524988025,524987480,-0.00091330067,0.013026209,0.00496182
525009076,525008527,0.16628157,0.037912168,0.07295951
525025614,525025060,0.25483215,0.19503622,-0.11337048
525048160,525047607,0.05788812,-0.0075376425,0.016830798
525067694,525067149,-0.05072341,-0.011956071,-0.0011605765
525088745,525088194,0.24708994,0.00080334325,0.07212036
525106776,525106232,-0.01568907,0.15571913,-0.13218029
525127833,525127276,0.27073026,-0.03664769,0.029727586
525148866,525148321,-0.2904063,-0.061600205,0.03963578
525165418,525164860,-0.005579508,-0.075346336,0.062131632
525186451,525185900,-0.18954451,0.11998961,-0.090357654
525207505,525206945,0.28802332,-0.047188472,0.00962526
525228537,525227990,-0.28464437,-0.025101278,0.026002005
525246575,525246028,0.2753766,-0.107324615,0.0406801
525269123,525268576,-0.19220915,-0.10378406,0.05550995
525285656,525285111,0.23505501,-0.10812626,0.044907525
525306704,525306155,-0.22096227,0.018668376,-0.0076601165
525327758,525327202,0.19309051,0.08553663,-0.062681876
525348800,525348244,-0.010059936,-0.20990688,0.071481444
525369834,525369289,-0.03573396,0.19274765,-0.026237773
525386370,525385824,-0.16506726,-0.1532963,0.013838719
525407420,525406869,0.15348408,0.21049172,-0.10687433
525425460,525424907,-0.17305645,-0.15779121,0.05818582
525446501,525445955,0.118438475,0.2098511,-0.00041008688
525467544,525466996,-0.111748464,-0.1223434,0.032422956
525488588,525488041,-0.012687454,0.045478866,-0.08189437
525509634,525509086,0.19246377,0.016415648,-0.010763577
525526173,525525621,0.15658993,0.21641603,-0.026575176
525547214,525546665,0.0073321587,-0.022877017,0.036874797
525565254,525564703,0.084233694,0.096937194,-0.0955757
525586293,525585748,0.0094866995,-0.09251519,0.054569323
525607347,525606793,-0.074283786,-0.0069698608,0.01586521
525628389,525627837,0.31517386,0.18326356,-0.010854541
525649433,525648882,-0.39278647,-0.17680384,0.010072579
525665963,525665417,0.28395456,-0.01877498,0.04685787
525687007,525686462,-0.36790952,-0.11868589,0.041000906
525706550,525706003,0.402714,0.17843491,-0.028203996
525726092,525725546,-0.4604924,-0.12721834,-0.02158629
525747137,525746592,0.29843214,0.03479121,-0.03107794
525768180,525767634,-0.05806928,-0.064070396,0.09172273
525786217,525785672,0.31297147,0.11718788,-0.052430946
525807272,525806716,-0.24614196,-0.12406076,0.02809967
525828317,525827761,-0.13648704,0.03058901,-0.04024042
525849351,525848805,0.3265528,0.0029200676,0.0469491
525865887,525865340,0.2543765,0.24123052,-0.111467496
525886944,525886390,0.07149041,-0.1154364,0.0467476
525907982,525907430,-0.3879783,-0.05780633,0.024716746
525926014,525925468,0.20669666,-0.1157649,0.05846591
525947060,525946512,-0.28335103,0.009010172,-0.06330972
525968114,525967569,0.39028695,0.22725023,-0.09059697
525989147,525988602,-0.19742228,-0.29983404,0.12278674
526005682,526005137,0.4170116,0.032764215,0.013443555
526026742,526026190,-0.31324443,-0.15577948,0.0056106583
526047771,526047226,0.075093396,0.25175026,-0.13285838
526065817,526065268,-0.3266687,-0.21681303,0.09850039
526086854,526086309,0.018505078,0.15720917,-0.04164647
526107905,526107353,0.13303936,-0.06850391,0.014727217
526128944,526128398,-0.18841316,0.032004617,-0.07667545
526145487,526144933,-0.14830802,-0.18948926,0.10477236
526166532,526165987,0.0008226455,0.07170984,-0.0198699
526187580,526187022,0.078080535,-0.013114058,0.015072676
526205608,526205060,0.13731469,0.13023141,-0.086343594
526226654,526226105,0.14163798,0.0416576,0.04812331
526247714,526247162,-0.26588252,-0.15824834,0.015045005
526268739,526268194,0.3688718,0.103908196,-0.025182465
526286789,526286232,-0.35908645,-0.053340018,-0.02938032
526307823,526307277,0.41834947,0.17018928,-0.019818613
526327370,526326825,-0.3174038,-0.11687747,0.009631181
526346917,526346360,0.29233012,0.0026643134,-0.020294936
526366451,526365901,-0.2928264,-0.042264163,0.031362537
526387491,526386946,0.12195507,0.12716681,-0.03650171
526408540,526407990,-0.014172301,-0.066202186,0.024591219
526426584,526426036,0.18959233,0.056136604,-0.059219506
526447629,526447073,-0.10295318,-0.24529931,0.10636855
526468663,526468118,0.020053132,0.22920787,-0.028534295
526485198,526484653,-0.28972182,-0.108199775,-0.020037932
526506250,526505697,0.25733966,0.18753125,-0.100961514
526527287,526526742,0.022504168,-0.31098807,0.12703395
526548339,526547791,-0.37384206,0.06202259,0.017167632
526566370,526565825,0.14376774,-0.0897226,0.0053808866
526587426,526586871,-0.37417197,-0.041824415,-0.06668234
526608466,526607914,0.3742879,0.096567705,-0.017898574
526626500,526625952,-0.28169444,-0.04926847,0.024186265
526646039,526645494,0.290726,0.13304907,-0.034186747
526667089,526666544,-0.35280293,-0.17117882,-0.0055303816
526688130,526687585,0.17949963,0.0938613,-0.035603594
526707670,526707124,-0.22862776,-0.11163926,0.06987745
526727211,526726666,0.31628427,0.11313489,-0.05814974
526748267,526747722,0.030303285,-0.014785224,0.0030428146
526766316,526765748,0.11574745,0.047606796,-0.02174058
526787347,526786793,0.24555638,0.004351115,0.04430893
526806880,526806335,-0.22469176,0.05644197,-0.07245871
526827930,526827385,0.2713431,-0.09031886,0.00908408
526845963,526845418,-0.24945505,0.058380283,0.007525614
526867007,526866462,0.2128741,-0.06618117,0.0071850833
526888069,526887506,-0.062811114,0.0862534,-0.050468005
526909102,526908557,0.011115756,0.102276094,-0.06736526
526928640,526928095,-0.014332737,-0.1928828,0.09298195
526948179,526947634,0.033116657,0.14472724,-0.016940596
526969223,526968678,-0.08651057,-0.097333945,-0.0064163604
526985762,526985213,0.12997848,0.033670906,-0.00035961223
527006806,527006258,-0.33593664,-0.23256597,0.0822731
527027848,527027303,0.290246,0.1542115,-0.034010522
527048899,527048347,-0.088848434,-0.044493936,0.0075320047
527068442,527067889,0.07647312,0.11856234,-0.08665681
527087985,527087430,-0.04163273,-0.09555887,0.07821756
527109022,527108475,-0.32982278,-0.14937365,0.0040927357
527125560,527125010,-0.2995159,-0.04855121,0.004299726
527146601,527146054,-0.01599908,0.035951212,-0.05258619
527167668,527167114,0.2670142,0.08450812,0.038912643
527188689,527188143,-0.30737808,-0.13822158,0.025190819
527206741,527206192,0.19399779,0.024772458,0.010911591
527227771,527227226,-0.26863378,-0.0043805363,-0.009438875
527248822,527248271,0.20045944,0.09581099,-0.02500573
527266854,527266309,-0.13436192,-0.100459866,-0.0043087085
527286402,527285850,0.10709778,-0.01014598,0.005125933
527307446,527306895,-0.100640945,0.05919017,0.012601026
527328485,527327939,0.06132823,0.008289946,0.0018590483
527348027,527347481,-0.042741727,0.059889976,-0.031646874
527367580,527367022,0.019029878,-0.13935384,-0.008394802
527388613,527388068,-0.00066166895,-0.05797052,0.063035674
527406650,527406105,-0.005981169,-0.024733577,-0.005314812
527427697,527427151,-0.010709422,-0.014116142,-0.03842349
527448769,527448206,0.038703036,0.13180825,-0.07235729
527469809,527469238,-0.1031511,-0.3114887,0.082800925
527486319,527485773,0.056748036,0.1521852,-0.013996137
527505860,527505315,-0.12883967,-0.08375658,-0.052079935
527528420,527527869,0.079456195,0.21400784,-0.12320008
527546450,527545901,-0.17404103,-0.3211785,0.120677575
527567498,527566949,-0.055713702,0.14452878,0.01810455
527588539,527587990,0.19668336,0.1608107,-0.0160505
527609582,527609035,-0.06404455,-0.18799445,-0.0027872827
527626115,527625570,0.12692575,-0.038725425,-0.004113978
527647159,527646614,-0.076689415,-0.22465928,0.09452376
527668210,527667659,-0.10479521,0.17727365,0.008322829
527686249,527685700,0.17419475,-0.11348655,0.034293763
527708800,527708248,0.064264335,-0.14173423,0.007073654
527725325,527724780,0.08811343,-0.010646846,-0.04807656
527746370,527745824,0.15870318,-0.09210333,0.029021373
527765918,527765366,-0.23181549,0.122740306,-0.027532777
527786959,527786411,0.3043783,0.10801878,-0.012059452
527808003,527807456,0.17211679,-0.044737365,0.0699729
527826042,527825493,-0.10555809,0.02530574,0.0025687832
527848591,527848041,0.12113299,-0.04460486,0.0039676987
527865122,527864576,-0.29951617,0.018507363,0.012102639
527889172,527888627,0.004403281,-0.007857906,0.072690405
527907216,527906665,-0.28792605,0.0048586945,-0.0154615175
527928266,527927710,0.10814296,0.09762329,-0.01942507
527949313,527948754,0.04747239,0.21187995,-0.019953603
527965844,527965298,0.15997452,-0.08884581,0.06541091
527986886,527986336,-0.029723188,0.022073861,0.0511256
528007950,528007395,-0.15910994,0.0571942,0.038958106
528025966,528025417,-0.13473453,-0.033760373,0.031211456
528047006,528046461,-0.058005664,-0.10840495,0.028244821
528068054,528067506,-0.10293206,-0.033373933,-0.031919822
528089099,528088554,-0.08553015,0.06971487,-0.04540228
528105633,528105085,0.0019446579,0.017092464,-0.041133344
528126675,528126130,0.05438293,0.13153255,-0.026994037
528147719,528147174,0.105157845,0.07939433,0.05246824
528168764,528168219,0.08571687,0.020418923,0.033037767
528186813,528186265,-0.08430947,0.016103918,0.02801622
528209353,528208805,0.035188317,0.14948383,-0.01994053
528228897,528228346,0.047245327,0.07633664,0.018888086
528245432,528244881,0.08996119,0.12771583,0.031751316
528266471,528265926,0.03335872,-0.17969958,0.100561254
528287525,528286970,-0.09563769,0.017465537,-0.0104640545
528308562,528308015,0.064310744,0.004414447,0.00024027668
528326600,528326053,0.043743443,-0.14842327,0.023316562
528347643,528347097,-0.106168605,-0.025001768,-0.0043864483
528365681,528365136,-0.0113840215,0.16721995,-0.04822596
528386736,528386180,-0.005909554,0.07139112,0.06261802
528407783,528407225,-0.16763373,-0.19092733,0.106518954
528428815,528428269,-0.17417833,0.27903208,-0.023633985
528449859,528449314,0.038706627,-0.08733878,0.016430747
528466400,528465849,-0.07301132,-0.1417653,-0.0032599538
528487447,528486896,-0.20830192,0.10524977,0.0088254595
528506983,528506435,-0.023308689,0.04336801,0.053956155
528526522,528525976,-0.045212824,0.03116989,-0.0013045527
528547579,528547021,-0.25238937,0.37048367,-0.004407975
528568626,528568065,-0.069637306,-0.21992403,0.1153279
528589655,528589110,-0.12476071,0.23404603,-0.031992916
528606194,528605645,-0.03260352,0.35216236,-0.028666062
528627235,528626690,-0.062280264,-0.3426622,0.12561
528645273,528644728,-0.20273146,-0.121195324,0.047021013
528666318,528665772,-0.028309742,0.4915541,-0.0020960073
528687370,528686817,-0.10765259,-0.4931357,0.12766662
528705406,528704855,-0.07753648,-0.107485875,0.066381805
528729452,528728906,-0.56599814,-0.17631246,0.094307646
528745986,528745441,-0.41024426,-0.25969836,0.06198238
528768543,528767993,-0.19283696,0.14007685,0.028131712
528788086,528787530,-0.4226006,0.1415799,0.06337821
528806114,528805569,0.20497152,0.025522895,0.039888494
528827158,528826613,-0.14988482,-0.07918772,0.051119335
528848209,528847658,-0.21027376,0.15930744,0.09852451
528866253,528865696,-0.0042198305,-0.16553815,0.09444396
528887299,528886740,-0.14627346,0.2649094,0.0032865193
528908330,528907785,-0.28338414,-0.17892842,0.058368415
528927885,528927326,-0.0858185,0.32818198,-0.009777048
528945929,528945381,-0.2660927,-0.30273438,0.012654819
528966955,528966409,0.20228265,0.29507077,-0.024928013
528988000,528987455,0.023023846,-0.3271982,0.020044066
529006038,529005492,0.19159473,0.23194888,-0.039741993
529027084,529026538,0.09846399,-0.29619625,0.026475523
529048133,529047581,0.12017419,0.029876933,0.011872198
529069171,529068625,0.12586921,-0.015566867,-0.0025112003
529085706,529085160,-0.043726794,0.010314861,0.00283911
529106750,529106205,0.10552678,0.13216686,0.01816301
529127796,529127250,0.16403034,-0.13335238,0.09559598
529145833,529145288,0.11486521,0.33612233,0.041986026
529166885,529166332,0.3412948,-0.052927822,0.0418522
529187929,529187383,0.31063122,0.07620919,0.017098518
529208974,529208425,-0.03846825,0.21705794,0.04622383
529225509,529224956,0.47752982,-0.0016255425,0.05532731
529246550,529246001,0.4681594,0.26561585,0.023451118
529267603,529267045,0.05090569,0.12441015,0.001635249
529285629,529285083,0.27731436,0.024892975,-0.012449003
529306680,529306128,0.7525059,0.24568085,-0.04908701
529327719,529327173,0.41281572,-0.06897015,-0.04738737
529348769,529348217,-0.012810107,-0.30324468,-0.038749866
529366813,529366255,-0.15477245,-0.26592693,-0.022312937
529387848,529387300,-0.19021937,-0.18252264,-0.046264157
529408911,529408346,-0.14630455,-0.043114834,-0.03363633
529425430,529424879,-0.03247017,0.08426918,-0.017691249
529446469,529445924,0.050482165,0.02549839,-0.006498965
529467517,529466969,0.20732732,0.033159595,0.0142499795
529488560,529488013,0.2688964,0.18613897,0.0062826877
529506599,529506051,-0.096293285,-0.060901716,-0.0144375255
529527644,529527095,-0.08547531,-0.29560766,-0.019095626
529548688,529548140,0.029479934,-0.26212287,-0.0072696637
529565226,529564675,0.03672279,-0.30004632,-0.023693632
529586265,529585719,0.021739285,-0.21025857,-0.033908937
529607317,529606768,-0.02085069,-0.11440353,-0.032597523
529628357,529627809,-0.08019224,-0.11379698,-0.04448614
529646398,529645847,0.023947932,-0.3147524,-0.036415268
529667443,529666891,0.17004707,-0.10382559,-0.042755153
529688482,529687936,0.13837259,-0.004395005,-0.045805465
529706520,529705974,-0.12508295,-0.279838,-0.024200287
529726063,529725515,0.035720762,-0.02383754,-0.02244083
529747128,529746568,0.20758067,0.043464325,-0.02992102
529768150,529767604,0.34145263,-0.05413829,-0.031018294
529786188,529785642,-0.05484515,0.13820331,-0.040224753
529807232,529806687,-0.13171418,0.17575875,-0.036544792
529828291,529827732,0.21702327,-0.09519065,-0.023723213
529846315,529845770,0.13059355,0.2623641,-0.06077426
529867366,529866814,-0.43236324,0.079338714,-0.042512953
529886909,529886358,-0.09075581,-0.23063308,-0.014656061
529907953,529907400,0.3792718,-0.12189659,-0.023854157
529925987,529925439,-0.37999213,-0.16843168,-0.049151994
529947034,529946483,-0.65473104,-0.20983537,-0.050901957
529968086,529967527,-0.4146522,-0.1395094,-0.035388157
529989117,529988572,0.08610786,-0.10451132,-0.0021253678
530008665,530008121,0.28650793,-0.067635514,-0.017400328
530028200,530027655,0.20394471,0.21177286,-0.012645286
530049255,530048699,0.14582591,0.05905386,-0.018428437
530065782,530065234,0.5314349,0.16526344,-0.017786682
530086824,530086279,0.3712825,0.09666665,-0.029059902
530107868,530107323,0.19055608,-0.13518126,-0.027653482
530128919,530128368,0.05726492,-0.2547361,-0.024754386
530148454,530147909,0.1336551,-0.047138043,-0.015469618
530167996,530167451,0.13256599,0.065355495,-0.031452257
530189040,530188495,-0.023714567,-0.039522562,-0.029088877
