timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
523499326,0.034335263,-0.019870332,0.0019376837,4510,0,0.14634533,-0.49207243,-9.527362,4510,0
523503843,-0.020075269,-0.02276808,-0.016581548,4517,0,0.034285977,-0.6876622,-10.099288,4517,0
523508345,-0.017750734,0.027132541,-0.018583791,4502,0,-0.3263781,-0.5651872,-10.418763,4502,0
523512863,0.017291605,-0.00095437275,-0.015922388,4518,0,-0.6179202,-0.55993,-9.484641,4518,0
523517364,0.02895498,-0.051343877,0.0018889086,4501,0,-0.3496914,0.27270362,-9.561783,4501,0
523521877,-0.03611833,0.0068103285,0.0045387326,4513,0,-0.2375151,-0.11940443,-10.403023,4513,0
523526401,-0.009679993,0.02222209,0.009760684,4524,0,0.04904946,-0.31662872,-9.919721,4524,0
523530893,0.03238903,-0.019159656,-0.012479311,4492,0,-0.27983117,-0.87121606,-9.707806,4492,0
523535402,-0.03198335,-0.00808792,0.011526493,4509,0,-0.42534825,-0.49878758,-10.301202,4509,0
523539919,-0.01991744,0.016111536,0.033063177,4517,0,-0.29743952,-0.36549777,-9.78789,4517,0
523544422,0.062646694,-0.004401072,0.004592228,4503,0,-0.39496672,-0.19372715,-9.609748,4503,0
523548931,-0.024678655,-0.012911844,-0.012126944,4509,0,-0.29985324,-0.121688314,-10.184657,4509,0
523553441,-0.040626295,0.0023280233,-0.0069509167,4510,0,0.0019428636,-0.5739455,-10.055055,4510,0
523557950,0.034293294,-0.011160615,-0.02842795,4509,0,-0.24341802,-1.1141596,-9.564344,4509,0
523562460,0.033186592,-0.009772317,-0.015047808,4510,0,-0.22108021,-0.37748963,-10.096641,4510,0
523566969,-0.07553499,-0.016347583,-0.0029085726,4509,0,-0.06305161,-0.3371211,-10.063555,4509,0
523571479,0.060001187,-0.0052129845,-0.032561187,4510,0,-0.30784452,-0.25877237,-9.836307,4510,0
523575988,0.02382967,0.01197786,-0.023334596,4509,0,-0.5535018,-0.015425056,-9.772998,4509,0
523580498,-0.064996265,-0.025847865,0.032626584,4510,0,-0.14061245,0.09652439,-9.71655,4510,0
523585008,0.03168822,-0.018744998,0.011810597,4510,0,-0.18439715,-0.9880097,-10.275177,4510,0
523589517,-7.0435926e-06,0.03247644,-0.0075617195,4509,0,-0.21137238,-0.38721794,-10.115691,4509,0
523594026,-0.03968743,0.0072013256,0.02887928,4509,0,-0.39029768,-0.36542353,-9.455427,4509,0
523598538,-0.0031251907,-0.016134989,0.025325568,4512,0,-0.6581951,-0.34735262,-9.965123,4512,0
523603046,0.034241017,0.0025100363,0.01746153,4508,0,-0.5054155,-0.11621809,-9.943338,4508,0
523607572,-0.02271708,-0.022966037,0.0060436595,4526,0,0.27313298,-0.36017805,-9.818162,4526,0
523612074,-0.01891823,-0.02173334,-0.035618,4502,0,0.20378137,-1.0822595,-10.49779,4502,0
523616574,0.026981764,0.0014970955,-0.0438928,4500,0,-0.32228494,-0.81734043,-10.232893,4500,0
523621087,0.0052455817,-0.0017952361,-0.02657227,4513,0,-0.55790454,-0.4290554,-9.549819,4513,0
523625593,0.015839264,-0.027602807,-0.008848191,4506,0,-0.43071932,-0.15008563,-9.362253,4506,0
523630103,0.00983322,-0.02688194,-0.0085157715,4510,0,-0.059564628,0.014166251,-10.145948,4510,0
523634613,0.016737655,0.046081275,-0.01962146,4510,0,-0.07166331,-0.066508785,-10.270401,4510,0
523639122,-0.06632094,0.021371095,0.013261121,4509,0,-0.461679,-0.2655041,-9.631812,4509,0
523643632,0.024593148,-0.0018433603,0.038723834,4510,0,-0.69014925,-0.46032652,-9.885291,4510,0
523648141,-0.005886431,-0.018417267,0.049373563,4509,0,-0.15720364,-0.44793293,-9.453629,4509,0
523652651,-0.06294731,0.0004652347,0.059479654,4510,0,0.05805743,-0.38261136,-10.3269615,4510,0
523657163,0.032802366,-0.046575695,0.018637009,4512,0,-0.25110647,-0.54000145,-9.921667,4512,0
523661670,-0.005241585,-0.038701028,-0.029965954,4507,0,-0.2797243,-0.3926478,-11.059643,4507,0
523666179,0.004010909,0.062309604,-0.030045439,4509,0,-0.31208646,-0.5311761,-9.833054,4509,0
523670689,0.013415155,-0.12022144,-0.01937463,4510,0,-0.017373325,-0.8011466,-7.574997,4510,0
523675198,0.06830972,0.035810687,-0.06344242,4509,0,-0.024981732,-0.88751316,-12.161414,4509,0
523679711,-0.039707623,0.12507184,-0.05720993,4513,0,-0.17381608,-0.5877929,-9.445574,4513,0
523684218,-0.007367894,-0.07131752,-0.008860445,4507,0,-0.6893232,0.04181435,-8.36637,4507,0
523688727,0.046776168,0.036331613,0.0134295765,4509,0,-1.0267652,0.18726772,-11.588045,4509,0
523693248,-0.0839855,-0.012981605,0.06864051,4521,0,0.34920403,0.6190753,-8.970926,4521,0
523697747,-0.02494791,-0.09207185,0.038804766,4499,0,0.52028817,-0.6468354,-10.159952,4499,0
523702256,0.00031151436,0.06289672,-0.009319174,4509,0,-0.54206324,-0.81403995,-11.569398,4509,0
523706766,0.024342109,-0.038390957,0.03995333,4510,0,-0.619143,-0.06287052,-8.465716,4510,0
523711275,-0.016100809,-0.122423634,0.02279576,4509,0,-0.4054497,-1.0237339,-10.260241,4509,0
523715784,0.06871299,0.11225656,-0.027528249,4509,0,-0.058488876,-0.6669664,-10.898439,4509,0
523720294,-0.03038443,0.039405853,-0.035259716,4510,0,0.12370287,-0.7308225,-7.3909106,4510,0
523724807,0.033787765,-0.055595692,-0.035839245,4513,0,-0.2556281,-0.57023215,-10.319619,4513,0
523729313,-0.012397143,0.095935114,-0.032294538,4506,0,-0.7779248,-0.5295674,-11.356009,4506,0
523733823,-0.06981811,-0.07116172,0.029359663,4510,0,0.12877187,0.22441444,-8.425678,4510,0
523738332,0.049690895,-0.07073336,-0.013417407,4509,0,-0.021789854,-0.42720345,-11.9244,4509,0
523742845,-0.038524438,0.10012008,-0.038933486,4513,0,-0.6655522,-0.28109184,-10.609502,4513,0
523747351,-0.041397534,-0.14885668,0.05184022,4506,0,-0.32234824,0.50881076,-7.018862,4506,0
523751861,0.11443052,-0.015083996,0.014151529,4510,0,-0.34927857,-0.77747786,-12.207686,4510,0
523756389,-0.025264561,0.17469785,-0.011151686,4528,0,-0.05687842,-0.8040014,-9.915918,4528,0
523760880,-0.047502972,-0.11142784,0.014639813,4491,0,0.23839486,-0.07604857,-6.44216,4491,0
523765390,0.08351523,0.009223685,-0.023993878,4510,0,-0.9427893,-1.0068129,-12.268305,4510,0
523769901,-0.1036152,0.08551009,0.040764082,4511,0,-0.13540512,-0.151523,-10.623833,4511,0
