timestamp,safety_switch_available,safety_off,override_available,override_enabled
523114287,1,1,0,0
524128729,1,1,0,0
525142359,1,1,0,0
526155210,1,1,0,0
527168213,1,1,0,0
528181725,1,1,0,0
529203621,1,1,0,0
530204746,1,1,0,0
531218015,1,1,0,0
532218799,1,1,0,0
533229219,1,1,0,0
534247983,1,1,0,0
535264442,1,1,0,0
536268617,1,1,0,0
537283287,1,1,0,0
538302465,1,1,0,0
539308736,1,1,0,0
540327279,1,1,0,0
541328168,1,1,0,0
542343039,1,1,0,0
543360531,1,1,0,0
544370341,1,1,0,0
545371469,1,1,0,0
546381654,1,1,0,0
547386042,1,1,0,0
548408365,1,1,0,0
549418456,1,1,0,0
550437721,1,1,0,0
551456174,1,1,0,0
552475851,1,1,0,0
553491913,1,1,0,0
554511074,1,1,0,0
555531953,1,1,0,0
556534421,1,1,0,0
