timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
536115060,536115033,0.51411587,8.895588e-05,3.5690532,52.289764,0.027067417,52.118275,1
536217663,536217635,0.51368713,8.833244e-05,6.6104426,52.241604,0.092939876,52.26733,1
536316654,536316626,0.5139374,8.773695e-05,-4.471393,54.960598,0.040419575,54.75668,1
536415890,536415859,0.51531416,8.718868e-05,4.9171643,56.163746,0.047833357,56.06272,1
536515075,536515048,0.5158573,8.666995e-05,-6.2022576,57.224476,0.074692205,57.05562,1
536614572,536614545,0.5157218,8.6177264e-05,2.7590837,58.71788,0.01440512,58.491386,1
536718455,536718401,0.5156497,8.569437e-05,-5.0640826,59.502613,0.047887597,59.18297,1
536817387,536817350,0.51579815,8.520656e-05,-4.1952467,58.14904,0.03363024,57.783695,1
536916487,536916457,0.5154631,8.470267e-05,0.33669007,58.662746,0.0002147117,58.408707,1
537015813,537015783,0.5167747,8.420126e-05,-9.6374655,59.767567,0.17267027,59.783348,1
537114847,537114819,0.51699483,8.369757e-05,9.732018,59.7325,0.1761784,59.932266,1
537204994,537204967,0.5179872,8.324708e-05,-11.856803,60.536427,0.2580334,60.70743,1
537318890,537318862,0.5191159,8.269564e-05,-9.213205,60.870907,0.15494204,60.810963,1
537416948,537416920,0.5189252,8.2204664e-05,0.31197906,59.11226,0.00018294933,58.83577,1
537516317,537516290,0.51907104,8.170068e-05,-9.685272,57.485622,0.18131006,57.49971,1
537615359,537615331,0.52016944,8.119714e-05,7.086302,58.217045,0.095839955,58.252243,1
537714964,537714889,0.5199853,8.0719605e-05,-6.3168745,57.614487,0.076953836,57.446587,1
537813995,537813964,0.5201162,8.0254045e-05,3.6483035,56.084972,0.026368955,55.905056,1
537917767,537917740,0.5200718,7.980268e-05,-1.8171788,55.2791,0.0066373064,54.91119,1
538016825,538016797,0.51903886,7.938194e-05,-3.7514489,56.39215,0.027729172,56.161385,1
538115966,538115938,0.5188476,7.897654e-05,-6.8254304,55.207546,0.09376033,55.12275,1
538215395,538215361,0.51900625,7.857189e-05,3.7203572,57.811684,0.026601806,57.59594,1
538314615,538314587,0.5196185,7.818166e-05,1.6968167,57.947495,0.0055206814,57.70493,1
538413989,538413958,0.5193257,7.778658e-05,13.019365,57.35532,0.32836995,57.901104,1
538517335,538517308,0.51900953,7.7401324e-05,-0.12747261,58.177204,3.1034044e-05,57.9219,1
538616466,538616439,0.5187426,7.700784e-05,10.061652,57.513893,0.1955795,57.680496,1
538715741,538715713,0.51927084,7.6607204e-05,8.822181,57.14875,0.1513222,57.219955,1
538815110,538815080,0.5199777,7.620082e-05,-0.8006346,58.79914,0.0012113099,58.50163,1
538914533,538914506,0.51958567,7.580539e-05,-2.0555315,58.740707,0.007992204,58.476215,1
539013335,539013304,0.51953757,7.542079e-05,-4.76768,59.15596,0.04269463,58.95845,1
539117067,539117036,0.5195477,7.503588e-05,2.4398215,57.327763,0.011537417,56.991543,1
539216256,539216225,0.52022547,7.4628144e-05,-6.589169,55.40541,0.087069616,55.297733,1
539315923,539315893,0.5208451,7.4192634e-05,-7.211226,53.983727,0.10703181,53.90687,1
539414880,539414849,0.52110773,7.3738076e-05,9.534654,53.67228,0.188199,53.868996,1
539514163,539514136,0.52171093,7.328485e-05,-5.318264,53.870728,0.058337044,53.703373,1
539617759,539617685,0.5224839,7.2823976e-05,-6.926484,52.58079,0.10138088,52.43391,1
539716846,539716818,0.52177703,7.237618e-05,-3.9515584,52.771965,0.032876913,52.581795,1
539816185,539816157,0.52187467,7.194649e-05,-9.363009,53.003372,0.18377437,53.084827,1
539916388,539916354,0.52210665,7.15384e-05,-10.093998,54.322983,0.20840123,54.475643,1
540014640,540014609,0.5224584,7.11531e-05,6.9637094,54.83521,0.09826057,54.8215,1
540114380,540114344,0.5227386,7.0784256e-05,-7.458769,53.50897,0.11552213,53.440044,1
540217580,540217540,0.5225778,7.041341e-05,7.304593,51.8386,0.11436582,51.880398,1
540316602,540316575,0.5237969,7.002859e-05,-4.4823103,52.826233,0.04225827,52.635513,1
540415988,540415958,0.5239279,6.9632864e-05,-5.8298326,51.454975,0.07339091,51.30053,1
540516169,540516142,0.52413976,6.922842e-05,6.5304565,51.589336,0.09185116,51.576286,1
540614196,540614168,0.5241899,6.8830355e-05,5.0969176,50.059696,0.05766131,49.96718,1
540718117,540718089,0.52402663,6.8446585e-05,11.164784,51.941235,0.26665267,52.455093,1
540817139,540817112,0.5245623,6.8075904e-05,-1.5473123,51.573177,0.0051580975,51.207603,1
540916419,540916389,0.52496815,6.770228e-05,-2.1457014,49.359062,0.010364042,49.1448,1
541015814,541015786,0.5248744,6.732019e-05,-4.82835,47.517883,0.054512724,47.34862,1
541115048,541115020,0.52556425,6.693115e-05,-6.6362886,46.847103,0.10445405,46.763382,1
541213957,541213928,0.52574396,6.653484e-05,3.6986513,45.576645,0.033350464,45.44009,1
541318457,541318430,0.526268,6.612913e-05,-5.502018,43.65978,0.07704065,43.4711,1
541417011,541416981,0.52705604,6.572033e-05,-7.60558,43.383163,0.14814974,43.35212,1
541517233,541517205,0.5263735,6.532671e-05,1.3244219,42.37721,0.004599153,42.161976,1
541615816,541615782,0.526902,6.494512e-05,1.0261264,41.864536,0.0027945568,41.65929,1
541714565,541714536,0.52733046,6.4578984e-05,2.7002144,41.63181,0.019459367,41.497105,1
541813711,541813683,0.52711165,6.422386e-05,-10.919544,40.82396,0.32452738,41.072086,1
