timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
523244719,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
523266584,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
523330382,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
523461097,0,0.0,0.0,0.99790794,0.0,0.0,0.0,0.0,0.0
523483698,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
523785216,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
523850279,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
523871464,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
523976552,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
524087119,0,0.0,0.0,0.99790794,0.0,0.0,0.0,0.0,0.0
524173495,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
524237759,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
524430547,0,0.0,0.0,0.99790794,0.0,0.0,0.0,0.0,0.0
524472591,0,0.0,0.0,0.99790794,0.0,0.0,0.0,0.0,0.0
524535730,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
524840948,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
524905566,0,0.0,0.0,0.99790794,0.0,0.0,0.0,0.0,0.0
524928130,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
525036274,0,0.0,0.0,0.91422594,0.0,0.0,0.0,0.0,0.0
525121966,0,0.0,0.0,0.19665273,0.0,0.0,0.0,0.0,0.0
525207734,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525468777,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525575527,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525618001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525660312,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525766831,0,0.0,0.0,0.0,0.09024134,0.0,0.0,0.0,0.0
525831667,0,0.0,0.0,0.0,0.11857293,0.0,0.0,0.0,0.0
525962455,0,0.0,0.0,0.0,0.18887722,0.0,0.0,0.0,0.0
526049483,0,0.0,0.0,0.0,0.19517314,0.0,0.0,0.0,0.0
526157332,0,0.0,0.0,0.0,0.22035676,0.0,0.0,0.0,0.0
526261442,0,0.0,0.0,0.0,0.31164742,0.0,0.0,0.0,0.0
526369727,0,0.0,0.0,0.0,0.31374606,0.0,0.0,0.0,0.0
526456806,0,0.0,0.0,0.0,0.32948583,0.0,0.0,0.0,0.0
526563567,0,0.0,0.0,0.0,0.40188876,0.0,0.0,0.0,0.0
526670440,0,0.0,0.0,0.0,0.43022037,0.0,0.0,0.0,0.0
526776580,0,0.0,0.0,0.0,0.45750263,0.0,0.0,0.0,0.0
526865357,0,0.0,0.0,0.0,0.51101786,0.0,0.0,0.0,0.0
526972624,0,0.0,0.0,0.0,0.5330535,0.0,0.0,0.0,0.0
527059636,0,0.0,0.0,0.0,0.59286463,0.0,0.0,0.0,0.0
527169015,0,0.0,0.0,0.0,0.60650575,0.0,0.0,0.0,0.0
527275689,0,0.0,0.0,0.0,0.6327387,0.0,0.0,0.0,0.0
527361756,0,0.0,0.0,0.0,0.6925498,0.0,0.0,0.0,0.0
527470171,0,0.0,0.0,0.0,0.7135362,0.0,0.0,0.0,0.0
527557175,0,0.0,0.0,0.0,0.7597062,0.0,0.0,0.0,0.0
527662586,0,0.0,0.0,0.0,0.7764953,0.0,0.0,0.0,0.0
527770874,0,0.0,0.0,0.0,0.884575,0.0,0.0,0.0,0.0
527877295,0,0.0,0.0,0.0,0.8835257,0.0,0.0,0.0,0.0
527965721,0,0.0,0.0,0.0,0.91500527,0.0,0.0,0.0,0.0
528073661,0,0.0,0.0,0.0,0.93809026,0.0,0.0,0.0,0.0
528160053,0,0.0,0.0,0.0,0.9412382,0.0,0.0,0.0,0.0
528247081,0,0.0,0.0,0.0,0.9443861,0.0,0.0,0.0,0.0
528355318,0,0.0,0.0,0.0,0.9475341,0.0,0.0,0.0,0.0
528463614,0,0.0,0.0,0.0,0.9517314,0.0,0.0,0.0,0.0
528550936,0,0.0,0.0,0.0,0.95697796,0.0,0.0,0.0,0.0
528660519,0,0.0,0.0,0.0,0.9653725,0.0,0.0,0.0,0.0
528770193,0,0.0,0.0,0.0,0.98006296,0.0,0.0,0.0,0.0
528858618,0,0.0,0.0,0.0,0.9884575,0.0,0.0,0.0,0.0
528964091,0,0.0,0.0,0.0,0.9937041,0.0,0.0,0.0,0.0
529074699,0,0.0,0.0,0.0,0.9947534,0.0,0.0,0.0,0.0
529159789,0,0.0,0.0,0.0,0.9947534,0.0,0.0,0.0,0.0
529269485,0,0.0,0.0,0.0,0.99685204,0.0,0.0,0.0,0.0
529356045,0,0.0,0.0,0.0,0.99685204,0.0,0.0,0.0,0.0
529464685,0,0.0,0.0,0.0,0.9979014,0.0,0.0,0.0,0.0
529575181,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
529661720,0,0.0,0.0,0.0,0.9979014,0.0,0.0,0.0,0.0
529769945,0,0.0,0.0,0.0,0.9979014,0.0,0.0,0.0,0.0
529856593,0,0.0,0.0,0.0,0.99895066,0.0,0.0,0.0,0.0
529965257,0,0.0,0.0,0.0,0.9979014,0.0,0.0,0.0,0.0
530073578,0,0.0,0.0,0.0,0.9979014,0.0,0.0,0.0,0.0
530162198,0,0.0,0.0,0.0,0.9979014,0.0,0.0,0.0,0.0
