timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
523244493,523243788,-0.2984005,-0.4023794,-9.764246
523298666,523297913,-0.36098444,-0.3067004,-9.601815
523348218,523347506,-0.25186205,-0.44644713,-9.80916
523397776,523397111,-0.38785356,-0.4114142,-9.877359
523447384,523446717,-0.29028213,-0.57856023,-9.81851
523497052,523496345,-0.4612619,-0.43793476,-9.80395
523546594,523545926,-0.40160224,-0.39641902,-9.709544
523596234,523595533,-0.31741363,-0.46854165,-9.758111
523645798,523645138,-0.4760941,-0.2603211,-9.752499
523695427,523694751,-0.44715232,0.24397597,-9.750536
523745015,523744348,-0.3235848,-0.22323163,-10.567343
523794619,523793953,-0.48070833,-0.43831193,-9.829288
523844272,523843555,0.052435584,-0.19738653,-10.150297
523898362,523897671,-0.6344669,-0.053268407,-8.689699
523947976,523947279,-0.14237972,0.081556365,-10.06952
523997566,523996883,-0.049697883,-0.9327091,-9.517288
524042673,524041977,-0.3398697,-0.9728911,-10.882972
524092285,524091588,0.19069903,0.30628195,-11.078649
524146391,524145695,-0.67153126,-1.633497,-11.071843
524195950,524195300,-0.19990106,0.80271083,-6.388115
524245558,524244906,-1.2556027,-1.0185138,-12.496304
524295165,524294511,0.93958384,-1.0826681,-10.095597
524344762,524344116,-0.08729304,0.29971197,-10.481964
524394390,524393721,-1.0660492,0.03913871,-9.799956
524448490,524447835,-0.71103966,-0.5193941,-10.234584
524498135,524497447,0.30184996,0.2281423,-7.921167
524543187,524542541,-0.56234485,-1.0290174,-10.937409
524592812,524592141,-0.0777583,-1.8497725,-10.251588
524642415,524641759,0.007743802,-1.4887574,-9.982739
524696559,524695862,0.15325788,-1.3277535,-9.952004
524746116,524745467,-1.2921714,1.3677789,-9.268672
524795722,524795072,-2.085204,2.5132315,-9.701739
524845326,524844677,-1.4156419,0.865398,-9.904647
524894937,524894283,0.22499675,-1.8018395,-11.566446
524949085,524948400,-0.2788939,-1.2348163,-10.791506
524998654,524998002,0.76251787,-1.5213076,-13.058241
525048281,525047607,0.9014392,-0.30600643,-11.189034
525093370,525092703,-0.71858656,-1.0075053,-9.224713
525147472,525146818,-0.30073163,-1.0010492,-8.903516
525197074,525196423,-0.19821534,-2.0101795,-8.64459
525246684,525246028,-0.038430557,-1.2336342,-7.17527
525296330,525295634,-0.3284143,0.31897998,-6.0616684
525345901,525345247,-1.0173364,1.0273945,-8.038986
525395500,525394843,-1.6287249,0.3450707,-11.911392
525445093,525444449,-1.3494948,-0.5744692,-13.432133
525499207,525498563,-1.3494492,-0.5627883,-12.592635
525544307,525543659,0.4598724,-1.8069192,-9.284732
525598438,525597773,0.37295306,-2.0994916,-10.265768
525648035,525647385,0.3460898,-1.1890343,-8.457354
525697668,525696998,-0.6213601,0.66122025,-9.176951
525747242,525746592,-1.2868357,1.8166095,-10.931531
525796866,525796194,-1.2705749,2.1004257,-10.408434
525846462,525845799,-0.7295784,0.62781596,-8.747313
525896094,525895405,0.1324114,-1.1198994,-8.090965
525945662,525945009,0.6575892,-1.999024,-9.940778
525999786,525999124,0.61139816,-0.90170354,-8.127789
526044909,526044223,0.3573123,-0.8034267,-10.990001
526094496,526093827,0.09040026,-0.076466195,-9.060936
526144080,526143430,0.0075815874,-0.7572767,-7.743224
526198209,526197556,0.75104755,-0.75745785,-9.062978
526247814,526247162,0.6588188,-1.9145638,-6.9385314
526297430,526296755,0.2183664,-2.525154,-7.8528333
526347054,526346360,-0.18939853,-1.0527861,-8.219472
526396621,526395968,-0.75557655,1.0511109,-6.7925243
526446264,526445570,-1.7364084,1.9555793,-6.664595
526495858,526495175,-2.3422506,0.30863127,-10.318076
526545456,526544780,-1.1829935,-1.7238188,-13.382697
526595048,526594389,0.045320243,-2.710993,-13.257674
526644641,526643991,0.4926832,-1.772376,-11.677138
526698748,526698105,0.018395755,-2.4403102,-11.740439
526748411,526747722,-0.15190224,-0.58000237,-10.7199745
526797960,526797315,-0.92481464,0.48920313,-10.077154
526843089,526842411,-1.5656693,0.119396426,-10.81824
526897175,526896526,-2.38635,-0.27822694,-11.887807
526946781,526946131,-1.5020809,-0.87910765,-11.55828
526996394,526995739,-0.29695073,-0.6754043,-9.352318
527046037,527045341,0.4729374,0.08689924,-8.200294
527095643,527094946,0.14843017,0.43442422,-9.666501
527145212,527144561,0.098694876,0.41708526,-11.366822
527194820,527194156,0.6005037,-0.22355025,-12.005969
527248919,527248271,-0.09614424,-0.022397263,-12.332335
527294041,527293366,0.97444385,-2.3594148,-8.887419
527348159,527347481,1.1824012,-2.2215893,-10.207859
527397747,527397086,1.0698094,-2.2209647,-9.98106
527447338,527446691,0.51436454,-0.7226431,-8.555201
527496947,527496299,-0.38242564,1.3013083,-5.806887
527546555,527545901,-0.9524785,2.1286483,-4.961948
527596161,527595506,-1.0993593,1.4761252,-5.9627404
527645756,527645111,-0.87389714,0.88098055,-6.9483976
527695414,527694716,-0.6559266,0.5464432,-7.903243
527744976,527744325,-0.3470873,0.4297744,-8.858158
527794599,527793926,-0.324861,-0.003943691,-8.831241
527848695,527848041,-1.4354877,-1.1298575,-9.768874
527898336,527897646,-0.39945194,-1.3019727,-8.083643
