timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
523001717,1,0,1,0,0,0,0,0
523503687,1,0,1,0,0,0,0,0
524004641,1,0,1,0,0,0,0,0
524512689,1,0,1,0,0,0,0,0
525021642,1,0,1,0,0,0,0,0
525531039,1,0,1,0,0,0,0,0
526041639,1,0,1,0,0,0,0,0
526541676,1,0,1,0,0,0,0,0
527052634,1,0,1,0,0,0,0,0
527553638,1,0,1,0,0,0,0,0
528055632,1,0,1,0,0,0,0,0
528563731,1,0,1,0,0,0,0,0
529066009,1,0,1,0,0,0,0,0
529573674,1,0,1,0,0,0,0,0
530074673,1,0,1,0,0,0,0,0
530578668,1,0,1,0,0,0,0,0
531086262,1,0,1,0,0,0,0,0
531595777,1,0,1,0,0,0,0,0
532100677,1,0,1,0,0,0,0,0
532611685,1,0,1,0,0,0,0,0
533113634,1,0,1,0,0,0,0,0
533621640,1,0,1,0,0,0,0,0
534131635,1,0,1,0,0,0,0,0
534639652,1,0,1,0,0,0,0,0
535148677,1,0,1,0,0,0,0,0
535655673,1,0,1,0,0,0,0,0
536156959,1,0,1,0,0,0,0,0
536665635,1,0,1,0,0,0,0,0
537165646,1,0,1,0,0,0,0,0
537675147,1,0,1,0,0,0,0,0
538175804,1,0,1,0,0,0,0,0
538678023,1,0,1,0,0,0,0,0
539185881,1,0,1,0,0,0,0,0
539687960,1,0,1,0,0,0,0,0
540188637,1,0,1,0,0,0,0,0
540695940,1,0,1,0,0,0,0,0
541205617,1,0,1,0,0,0,0,0
541707192,1,0,1,0,0,0,0,0
542216442,1,0,1,0,0,0,0,0
542721678,1,0,1,0,0,0,0,0
543225905,1,0,1,0,0,0,0,0
543739205,1,0,1,0,0,0,0,0
544249270,1,0,1,0,0,0,0,0
544749491,1,0,1,0,0,0,0,0
545253635,1,0,1,0,0,0,0,0
545755651,1,0,1,0,0,0,0,0
546260678,1,0,1,0,0,0,0,0
546760715,1,0,1,0,0,0,0,0
547262637,1,0,1,0,0,0,0,0
547769865,1,0,1,0,0,0,0,0
548270635,1,0,1,0,0,0,0,0
548779639,1,0,1,0,0,0,0,0
549279682,1,0,1,0,0,0,0,0
549788685,1,0,1,0,0,0,0,0
549877964,1,0,1,0,0,0,0,0
550387022,1,0,1,0,0,0,0,0
550889633,1,0,1,0,0,0,0,0
551398679,1,0,1,0,0,0,0,0
551908681,1,0,1,0,0,0,0,0
552409678,1,0,1,0,0,0,0,0
552919636,1,0,1,0,0,0,0,0
553427812,1,0,1,0,0,0,0,0
553937979,1,0,1,0,0,0,0,0
554448275,1,0,1,0,0,0,0,0
554955789,1,0,1,0,0,0,0,0
555462723,1,0,1,0,0,0,0,0
555883918,0,0,1,0,0,0,0,0
556390637,0,0,1,0,0,0,0,0
