timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
523245875,523245300,-0.044050474,0.03126164,0.0003584142,0.001,0.0,0.0,0.0,-1.0
523296969,523296399,-0.040897924,0.03379768,-0.0014199204,0.001,0.0,0.0,0.0,-1.0
523348100,523347506,-0.04597834,0.04130625,0.00049712986,0.001,0.0,0.0,0.0,-1.0
523399182,523398612,-0.043828692,0.029671274,-0.00012372993,0.001,0.0,0.0,0.0,-1.0
523447288,523446717,-0.03711237,0.031930294,0.0022641066,0.001,0.0,0.0,0.0,-1.0
523496929,523496345,-0.0411813,0.029512344,-0.0009449259,0.001,0.0,0.0,0.0,-1.0
523544991,523544422,-0.047678918,0.027726421,-0.004178371,0.001,0.0,0.0,0.0,-1.0
523596120,523595533,-0.038610607,0.022983287,-0.0040095453,0.001,0.0,0.0,0.0,-1.0
523647208,523646638,-0.0419385,0.02705963,-0.0076290243,0.001,0.0,0.0,0.0,-1.0
523696824,523696243,-0.027303169,0.04464179,-0.01174553,0.001,0.0,0.0,0.0,-1.0
523747943,523747351,-0.036464456,0.035840917,-0.00178356,0.001,0.0,0.0,0.0,-1.0
523797527,523796957,-0.04140923,0.007319436,0.00039731656,0.001,0.0,0.0,0.0,-1.0
523847132,523846562,-0.02828362,0.044566866,-0.00031318446,0.001,0.0,0.0,0.0,-1.0
523895235,523894664,-0.07184064,-0.008684979,0.0013486751,0.001,0.0,0.0,0.0,-1.0
523947860,523947279,-0.037393507,0.057847477,0.0001471333,0.001,0.0,0.0,0.0,-1.0
523997464,523996883,-0.042981792,0.069572404,-0.0004999311,0.001,0.0,0.0,0.0,-1.0
524045564,524044990,-0.039403204,-0.0063315905,0.004053492,0.001,0.0,0.0,0.0,-1.0
524095152,524094587,-0.003667189,0.032085795,-0.005451291,0.001,0.0,0.0,0.0,-1.0
524147771,524147198,-0.07877796,0.015555168,0.009238119,0.001,0.0,0.0,0.0,-1.0
524195866,524195300,-0.021089964,0.011998538,-0.015818646,0.001,0.0,0.0,0.0,-1.0
524245473,524244906,-0.07374378,-0.009974245,0.008852391,0.001,0.0,0.0,0.0,-1.0
524298117,524297517,-0.032584764,0.048273623,0.0059617846,0.001,0.0,0.0,0.0,-1.0
524347694,524347124,-0.0028997627,0.051830247,-0.0028162994,0.001,0.0,0.0,0.0,-1.0
524395789,524395224,-0.10087762,0.04638145,0.0036602498,0.001,0.0,0.0,0.0,-1.0
524448408,524447835,-0.07106879,0.042371638,0.0006241104,0.001,0.0,0.0,0.0,-1.0
524498035,524497447,-0.013195458,0.051264387,-0.0024085355,0.001,0.0,0.0,0.0,-1.0
524546117,524545545,-0.115489446,0.00822184,-0.00015793713,0.001,0.0,0.0,0.0,-1.0
524595713,524595148,0.011277863,0.03602842,-0.015457595,0.001,0.0,0.0,0.0,-1.0
524645336,524644753,0.072338626,0.009665907,0.00049405516,0.001,0.0,0.0,0.0,-1.0
524696443,524695862,0.027170157,0.025313677,0.011142981,0.001,0.0,0.0,0.0,-1.0
524746040,524745467,-0.08941646,0.06747669,0.0027270506,0.001,0.0,0.0,0.0,-1.0
