timestamp,main_state_changes,main_state
523001719,7,2
523503689,7,2
524004644,7,2
524512692,7,2
525021644,7,2
525531041,7,2
526041641,7,2
526541679,7,2
527052636,7,2
527553640,7,2
528055634,7,2
528563734,7,2
529066011,7,2
529573677,7,2
530074675,7,2
530578671,7,2
531086265,7,2
531595780,7,2
532100680,7,2
532611688,7,2
533113636,7,2
533621643,7,2
534131637,7,2
534639657,7,2
535148680,7,2
535655676,7,2
536156961,7,2
536665637,7,2
537165651,7,2
537675149,7,2
538175807,7,2
538678026,7,2
539185884,7,2
539687963,7,2
540188640,7,2
540695943,7,2
541205619,7,2
541707195,7,2
542216444,7,2
542721681,7,2
543225908,7,2
543739207,7,2
544249272,7,2
544749493,7,2
545253637,7,2
545755654,7,2
546260680,7,2
546760717,7,2
547262640,7,2
547769868,7,2
548270637,7,2
548779641,7,2
549279685,7,2
549788688,7,2
549877966,8,11
550387032,8,11
550889636,8,11
551398681,8,11
551908683,8,11
552409680,8,11
552919638,8,11
553427814,8,11
553937981,8,11
554448277,8,11
554955792,8,11
555462941,8,11
555883920,8,11
556390639,8,11
