timestamp,voltage5v_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid
523237641,4.814648,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
523747646,4.85332,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
524247642,4.842041,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
524737638,4.82915,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
525237803,4.8468747,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
525747638,4.822705,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
526247828,4.8710446,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
526748035,4.787256,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
527248642,4.827539,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
527737635,4.832373,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
528237638,4.9193845,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
528737642,4.7953124,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
529247692,4.7711425,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
529747640,4.753418,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
530247835,4.755029,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
530748426,4.755029,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
531248674,4.8468747,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
531737635,4.71958,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
532237638,4.7759767,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
532747642,4.788867,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
533247638,4.7421384,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
533747646,4.740527,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
534247837,4.729248,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
534747929,4.7824216,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
535237635,4.7695312,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
535737641,4.71958,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
536247676,4.788867,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
536747639,4.76792,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
537247639,4.7614746,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
537737899,4.79209,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
538247889,4.7179685,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
538748288,4.703467,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
539248607,4.7179685,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
539747638,4.7566404,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
540247638,4.7727537,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
540747642,4.7308593,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
541247650,4.8210936,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
541738141,4.763086,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
542241393,4.801758,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
542747737,4.729248,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
543248449,4.8710446,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
543748027,4.705078,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
544248065,4.613232,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
544748427,4.690576,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
545248923,4.7614746,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
545749219,4.7356935,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
546237704,4.7566404,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
546747890,4.676074,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
547248311,4.716357,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
547748027,4.788867,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
548247688,4.788867,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
548747638,4.76792,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
549237640,4.740527,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
549737648,4.8259277,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
550247672,4.8114257,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
550748182,4.7421384,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
551248688,4.801758,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
551747978,4.788867,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
552247688,4.8098145,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
552737687,4.813037,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
553237642,4.832373,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
553747638,4.837207,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
554247637,4.8194823,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
554747642,4.798535,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
555248251,4.867822,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
555748014,4.8194823,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
556237705,4.838818,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
556737670,4.851709,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
