timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3]
523243050,2162698,2162698,0,0,0,0.0,0.0,0.0,0.0,2162698,2162698,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0
523445964,2162698,2162698,0,0,0,0.0,0.0,0.0,0.0,2162698,2162698,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0
523644435,2162698,2162698,0,0,0,0.0,0.0,0.0,0.0,2162698,2162698,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0
523847319,2162698,2162698,0,0,0,0.0,0.0,0.0,0.0,2162698,2162698,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0
524045733,2162698,2162698,0,0,0,0.0,0.0,0.0,0.0,2162698,2162698,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0
524248646,2162698,2162698,0,0,0,0.0,0.0,0.0,0.0,2162698,2162698,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0
524447065,2162698,2162698,0,0,0,0.0,0.0,0.0,0.0,2162698,2162698,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0
524645513,2162698,2162698,0,0,0,0.0,0.0,0.0,0.0,2162698,2162698,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0
524848435,2162698,2162698,0,0,0,0.0,0.0,0.0,0.0,2162698,2162698,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0
525046837,2162698,2162698,0,0,0,0.0,0.0,0.0,0.0,2162698,2162698,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0
525245255,2162698,2162698,0,0,0,0.0,0.0,0.0,0.0,2162698,2162698,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0
525443750,2162698,2162698,0,0,0,0.0,0.0,0.0,0.0,2162698,2162698,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0
525646620,2162698,2162698,0,0,0,0.0,0.0,0.0,0.0,2162698,2162698,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0
