timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,current_average_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,average_power,available_energy,remaining_capacity,design_capacity,nominal_voltage,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,manufacture_date,state_of_health,max_error,interface_error,average_time_to_full,over_discharge_count,connected,source,priority,id,is_powering_off,warning
523447674,11.1765995,11.404878,1.6615999,0.3713039,-1.0,456.36777,0.548956,1.0652497,nan,3,3.801626,3.801626,3.801626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
523647662,11.283199,11.368638,1.9344,0.9437417,-1.0,456.48593,0.5269924,1.0686451,nan,3,3.789546,3.789546,3.789546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
523848313,11.603,11.349077,1.116,1.1221615,-1.0,456.569,0.51513726,1.0704868,nan,3,3.7830257,3.7830257,3.7830257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
524037690,11.5702,11.339192,1.0912,1.1146551,-1.0,456.62698,0.50914675,1.07142,nan,3,3.7797308,3.7797308,3.7797308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
524247668,11.2996,11.333008,1.178,1.1091261,-1.0,456.69104,0.50539833,1.0720046,nan,3,3.7776692,3.7776692,3.7776692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
524447661,11.316,11.321903,1.0416,1.0860296,-1.0,456.74896,0.49866825,1.0730559,nan,3,3.7739677,3.7739677,3.7739677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
524637693,11.611199,11.315933,1.1035999,1.0674409,-1.0,456.8029,0.49505,1.073622,nan,3,3.7719777,3.7719777,3.7719777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
524847747,11.250401,11.31119,1.0292,1.0541654,-1.0,456.86288,0.49217516,1.0740722,nan,3,3.7703965,3.7703965,3.7703965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
525047978,11.562,11.311634,1.0168,1.0584179,-1.0,456.92224,0.49244457,1.0740299,nan,3,3.7705448,3.7705448,3.7705448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
525247686,10.9962,11.299637,0.7564,1.0373236,-1.0,456.97726,0.48517329,1.0751703,nan,3,3.7665455,3.7665455,3.7665455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
