timestamp,timestamp_last_signal,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source
523244656,523244656,41,0,0,20001,1504,1500,1000,1995,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
523265286,523265286,41,0,0,20000,1503,1500,1000,1991,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
523741983,523741983,41,0,0,20000,1503,1500,1000,1988,1000,1000,2001,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
524237696,524237696,41,0,0,20001,1503,1500,1000,1988,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
524732615,524732615,41,0,0,20000,1503,1500,1000,1988,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
525230133,525230133,41,0,0,20000,1503,1500,1006,1501,1000,1000,2001,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
525744217,525744217,41,0,0,20001,1503,1500,1054,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
526239852,526239852,41,0,0,20000,1503,1500,1291,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
526734146,526734146,41,0,0,20001,1503,1500,1442,1501,1000,1001,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
527232441,527232441,41,0,0,20001,1503,1500,1605,1500,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
527728427,527728427,41,0,0,20001,1503,1500,1820,1502,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
528224481,528224481,41,0,0,20000,1503,1500,1921,1501,1001,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
528725035,528725035,41,0,0,20001,1503,1500,1952,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
529247487,529247487,41,0,0,20001,1503,1500,1970,1502,1000,1001,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
529748029,529748029,41,0,0,20001,1503,1500,1971,1503,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
530226301,530226301,41,0,0,20001,1503,1500,1973,1502,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
530742118,530742118,41,0,0,20000,1503,1500,1972,1502,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
531239991,531239991,41,0,0,20000,1503,1500,1544,1502,1000,1000,2001,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
531740596,531740596,41,0,0,20001,1503,1500,1544,1502,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
532241109,532241109,41,0,0,20000,1503,1500,1545,1502,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
532732582,532732582,41,0,0,20001,1503,1500,1544,1502,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
533230131,533230131,41,0,0,20000,1503,1500,1544,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
533748420,533748420,41,0,0,20001,1503,1500,1544,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
534248711,534248711,41,0,0,20001,1504,1500,1544,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
534745341,534745341,41,0,0,20001,1503,1500,1544,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
535244457,535244457,41,0,0,20001,1704,1503,1544,1502,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
535746403,535746403,41,0,0,20001,1854,1500,1544,1501,1000,1000,2000,1001,0,0,0,0,0,0,0,0,0,0,8,0,0,2
536224414,536224414,41,0,0,20001,1430,1490,1544,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
536741554,536741554,41,0,0,20000,1503,1500,1544,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
537242105,537242105,41,0,0,20000,1538,1397,1544,1501,1000,1000,2001,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
537739193,537739193,41,0,0,20000,1537,1308,1544,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
538239511,538239511,41,0,0,20001,1566,1245,1544,1501,1001,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
538739425,538739425,41,0,0,20001,1504,1461,1545,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
539243085,539243085,41,0,0,20001,1489,1690,1544,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
539744426,539744426,41,0,0,20001,1500,1704,1544,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
540240952,540240952,41,0,0,20000,1504,1500,1544,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
540741589,540741589,41,0,0,20001,1058,1489,1544,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
541242055,541242055,41,0,0,20000,1534,1503,1544,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
541735042,541735042,41,0,0,20001,1981,1503,1544,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
542235634,542235634,41,0,0,20000,1985,1505,1544,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
542738748,542738748,41,0,0,20001,1140,1440,1544,1501,1000,1000,2001,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
543245736,543245736,41,0,0,20001,1030,1473,1545,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
543740078,543740078,41,0,0,20000,1027,1469,1544,1501,1000,1000,2001,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
544237908,544237908,41,0,0,20000,1029,1475,1544,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
544737693,544737693,41,0,0,20001,1827,1505,1544,1502,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
545238261,545238261,41,0,0,20001,1503,1500,1544,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
545742565,545742565,41,0,0,20001,1504,1500,1544,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
546231022,546231022,41,0,0,20001,1458,1714,1545,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
546742351,546742351,41,0,0,20000,1509,1400,1544,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
547239711,547239711,41,0,0,20001,1503,1500,1544,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
