timestamp,load,ram_usage
522865235,0.409577,0.7842678
523364184,0.6427003,0.78447443
523864105,0.46915698,0.78447443
524364059,0.4570908,0.78447443
524864132,0.435812,0.78447443
525364066,0.4459902,0.78447443
525864057,0.4405539,0.78447443
526365189,0.450491,0.78447443
526865933,0.44263512,0.78447443
527364101,0.44574112,0.78447443
527864057,0.444162,0.78447443
528364056,0.44650602,0.78447443
528864091,0.442488,0.78447443
529364056,0.44717002,0.78447443
529864056,0.44457603,0.78447443
530364099,0.4486326,0.78447443
530865203,0.44875103,0.78447443
531364196,0.45099723,0.78447443
531864056,0.44751132,0.78447443
532364052,0.45014602,0.78447443
532864059,0.4487393,0.78447443
533364283,0.44915807,0.78447443
533864056,0.44252354,0.78447443
534364558,0.44762367,0.78447443
534865014,0.44461185,0.78447443
535364065,0.44507873,0.78447443
535864059,0.444202,0.78447443
536364252,0.4487136,0.78447443
536864055,0.44355136,0.78447443
537364062,0.4483987,0.78447443
537864055,0.44264936,0.78447443
538364700,0.4489935,0.78447443
538865596,0.4417709,0.78447443
539364062,0.45002794,0.78447443
539864056,0.44338,0.78447443
540364327,0.44662482,0.78447443
540864052,0.44339746,0.78447443
541364057,0.4504164,0.78447443
541864080,0.44020754,0.78447443
542364616,0.4724378,0.78447443
542864939,0.5339548,0.78447443
543364056,0.5326799,0.78447443
543864052,0.52474,0.78447443
544364429,0.5348375,0.78447443
544864101,0.53255975,0.78447443
545364096,0.5322894,0.78447443
545864082,0.53223467,0.78447443
546364479,0.5340141,0.78447443
546864870,0.5321181,0.78447443
547364056,0.53392124,0.78447443
547864052,0.47291797,0.78447443
548364269,0.44330716,0.78447443
548864068,0.4438784,0.78447443
549364056,0.4486388,0.78447443
549864286,0.44220197,0.78447443
550365272,0.4486912,0.78447443
550865580,0.4462905,0.78447443
551364052,0.44584137,0.78447443
551864092,0.44477397,0.78447443
552364179,0.44672096,0.78447443
552864062,0.446207,0.78447443
553364052,0.44607002,0.78447443
553864303,0.4459688,0.78447443
554364457,0.44439512,0.78447443
554864956,0.44029933,0.78447443
555364059,0.44000065,0.78447443
555864052,0.4416595,0.78447443
556364059,0.504825,0.78447443
556864057,0.479518,0.78447443
