timestamp,timestamp_sample,x,y,z,r,flaps,aux1,aux2,aux3,aux4,aux5,aux6,data_source
523244713,523244656,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
523266578,523265286,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
523330369,523330306,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
523483692,523483585,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
523785209,523783885,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
524020262,524020209,0.0,0.0,0.0,0.99790794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
524237749,524237696,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
524430533,524430480,0.0,0.0,0.0,0.99790794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
524535723,524535670,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
524840942,524840859,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
525036268,525036212,0.0,0.0,0.0,0.91422594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
525207727,525207597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
525468770,525468715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
525617995,525617942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
525831660,525831201,0.0,0.0,0.11857293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
525985838,525984527,0.0,0.0,0.19412382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
526239908,526239852,0.0,0.0,0.28331584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
526434288,526434202,0.0,0.0,0.32528856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
526628141,526628088,0.0,0.0,0.43022037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
526841842,526841352,0.0,0.0,0.49527806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
527038143,527038052,0.0,0.0,0.570829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
527232496,527232441,0.0,0.0,0.6128017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
527448903,527448851,0.0,0.0,0.7093389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
527640027,527639547,0.0,0.0,0.76810074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
527834665,527834600,0.0,0.0,0.8835257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
528029185,528029126,0.0,0.0,0.9296957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
528224534,528224481,0.0,0.0,0.9443861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
528442746,528442244,0.0,0.0,0.94963276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
528616458,528616396,0.0,0.0,0.9580273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
528835994,528834571,0.0,0.0,0.9832109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
529031813,529031734,0.0,0.0,0.9947534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
529247597,529247487,0.0,0.0,0.9958027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
529444574,529444519,0.0,0.0,0.9979014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
529640108,529640052,0.0,0.0,0.99895066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
