timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
542116669,542114707,0.04262066,0.21841973,-2.0061567,-0.60717475,0.009763717,0.5809469,1.8001747,0.26909,0.49493134,0.20252304,-0.17908198,-0.7588804,-0.75742614,0.09127495,0.39571145,0.46771324,-0.035666622,0.00031625677,0.112820014,0.70848936,0.17760462,0.00076974573
543118328,543115819,0.12737073,0.06614236,-1.5048969,-0.2602294,0.10050952,0.43731737,1.4008309,3.0337942,1.6625612,0.5050201,-0.595016,-2.356258,-2.9567404,-0.01484704,0.30405593,0.1473329,-2.0180163,0.00012670553,0.039961834,0.8365799,0.1232049,0.00012670553
544110688,544107912,0.15477502,0.040136326,-1.3470247,-0.11485043,0.13496456,0.3578608,1.2065169,0.11631102,0.14827672,0.14586978,0.18488733,0.04636074,-0.6219059,-0.5977202,-0.6772505,-0.6336206,-0.47925252,0.000114179085,0.02043594,0.86711043,0.112225324,0.000114179085
545116111,545113536,0.15649985,0.023951434,-0.99687254,-0.02336906,0.14491227,0.2907557,0.9351544,-2.6575685,-0.57632697,-0.08764157,0.34660563,1.5621156,1.009999,-0.26823425,-0.3260622,-0.20229936,0.9452038,0.00010895797,0.017976513,0.8813135,0.100492075,0.00010895797
546116257,546114646,0.16305853,0.020455344,-0.89006627,0.0056517045,0.15350886,0.27976933,0.8554621,-0.09462093,0.09043044,0.09439084,0.1195924,0.027343988,0.115760565,0.30749193,0.28135812,0.32951957,0.49805245,0.00010412666,0.015936878,0.8892657,0.09458961,0.00010369628
547120365,547115758,0.1548573,0.020499554,-0.9029874,-0.015504609,0.1452378,0.27379775,0.83625674,0.29145184,0.17771351,0.12108749,0.08950162,-0.17648965,-0.25188512,0.10097324,0.09480332,0.13148955,0.18737075,0.000101383026,0.01555997,0.8896765,0.094560735,0.000101383026
548104768,548103342,0.15673466,0.020556789,-0.89943296,-0.013245257,0.1471604,0.27546996,0.8365624,0.24031985,0.12675837,0.08764103,0.06837824,-0.09397225,-0.20121416,-0.022278562,-0.041713193,-0.026506647,-0.03006389,0.00010153594,0.015535579,0.8899444,0.0943159,0.00010262668
549116194,549113473,0.14740591,0.020647658,-0.9080134,-0.02235163,0.13786615,0.26601171,0.82699615,0.106068216,0.0133681595,-0.0020300746,-0.003133148,-0.038625553,-0.042232595,-0.069576085,-0.10663575,-0.11461519,-0.17745534,0.00010250185,0.015614295,0.8899316,0.09424907,0.00010250185
550116282,550114584,0.09673818,0.020748267,-0.9594444,-0.07293339,0.087230876,0.21537106,0.7768734,0.021335408,0.09069504,0.09983578,0.11245917,0.12283322,-0.22477168,-0.2215934,-0.23118715,-0.22243641,-0.18388712,0.00010406148,0.015783645,0.88980126,0.09420699,0.00010403218
551109645,551106677,0.07895964,0.02082917,-0.9781072,-0.09073853,0.06944863,0.19750337,0.7590257,-0.24294467,-0.118912935,-0.10143295,-0.08458626,-0.05832815,-0.13507028,-0.12099318,-0.120125964,-0.10582323,-0.0326709,0.00010334821,0.015828166,0.88961655,0.09434677,0.000105157334
552105239,552103279,0.117360234,0.020895872,-0.93930495,-0.052172575,0.107911766,0.235714,0.7976141,0.053129163,0.10719838,0.12713686,0.14792801,0.2314285,0.102323055,-0.028884903,-0.051846966,-0.06078823,-0.07682915,0.00010404489,0.015927382,0.88970035,0.09416423,0.00010394378
553115079,553113409,0.13221323,0.020834755,-0.9166774,-0.024821376,0.122993626,0.24771321,0.81771487,-0.032901198,0.03726525,0.056267023,0.07423268,0.14286223,0.021065898,-0.06792636,-0.08029026,-0.08343555,-0.07577367,0.00010787961,0.016150905,0.8902441,0.0933965,0.000100510435
553877448,553875514,0.1230855,0.020904262,-0.925612,-0.033875465,0.11392289,0.23862298,0.80901664,-0.017205216,0.06011006,0.07913677,0.09639113,0.16093361,-0.063578665,-0.13896333,-0.1476444,-0.14875628,-0.1322718,0.000111228175,0.016252436,0.8904473,0.09308717,0.00010187459
