timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,accel_bias_valid,mag_bias_valid
531515360,531512798,2162698,-0.0011414932,-0.0040374543,-0.00083839544,0.34906584,2.0315423e-09,2.0326234e-09,3.4970118e-09,2162698,0.04551656,0.015711997,-0.14698008,0.4,5.0003496e-06,5.0003496e-06,5.0003496e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
531709410,531706716,2162698,-0.0011446547,-0.004049156,-0.00083898293,0.34906584,2.0442823e-09,2.0453665e-09,3.5181804e-09,2162698,0.046085063,0.0156321,-0.14520557,0.4,5.003469e-06,5.003469e-06,5.003469e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
531908174,531905128,2162698,-0.0011354941,-0.00404235,-0.000836231,0.34906584,2.0523085e-09,2.0533923e-09,3.5277599e-09,2162698,0.046352457,0.01611313,-0.14214328,0.4,4.9887644e-06,4.9887644e-06,4.9887644e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
532904420,532901750,2162698,-0.0011433526,-0.0040678005,-0.00083876104,0.34906584,2.1422948e-09,2.1433764e-09,3.6397136e-09,2162698,0.04774155,0.016425148,-0.1418404,0.4,5.006026e-06,5.006026e-06,5.006026e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
533107377,533104673,2162698,-0.0011405163,-0.0040604053,-0.0008362437,0.34906584,2.153618e-09,2.1546929e-09,3.6483314e-09,2162698,0.04833311,0.016409852,-0.14070244,0.4,4.9906243e-06,4.9906243e-06,4.9906243e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
533305925,533303087,2162698,-0.0011451937,-0.004073675,-0.00083795784,0.34906584,2.175308e-09,2.1763802e-09,3.6741001e-09,2162698,0.049481627,0.016044779,-0.13990276,0.4,4.998736e-06,4.998736e-06,4.998736e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
533508827,533506017,2162698,-0.0011460027,-0.0040853075,-0.00083949097,0.34906584,2.1970936e-09,2.198162e-09,3.699726e-09,2162698,0.050397534,0.016421724,-0.13910322,0.4,5.0066074e-06,5.0066074e-06,5.0066074e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
533707528,533704441,2162698,-0.0011430628,-0.0040779095,-0.0008374734,0.34906584,2.2089721e-09,2.210031e-09,3.7084507e-09,2162698,0.050968837,0.01643752,-0.13788489,0.4,4.9917285e-06,4.9917285e-06,4.9917285e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
534066876,534065200,2162698,-0.0011482442,-0.00409831,-0.0008410283,0.34906584,2.251916e-09,2.2529716e-09,3.7580956e-09,2162698,0.051890124,0.016496904,-0.13829783,0.4,5.0108106e-06,5.010814e-06,5.010702e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
534116653,534114805,2162698,-0.0011441133,-0.004085428,-0.00083777856,0.34906584,2.246122e-09,2.2471651e-09,3.74748e-09,2162698,0.05224722,0.016470188,-0.13729012,0.4,4.989992e-06,4.989992e-06,4.9899927e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
