timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,is_external
524177938,524176864,396817,-0.07272727,-0.28484848,0.14090909,nan,0,1
525162490,525161463,396817,-0.076515146,-0.29242423,0.14621212,nan,0,1
526167824,526166874,396817,-0.074999996,-0.30454543,0.15530303,nan,0,1
527173756,527172752,396817,-0.076515146,-0.30151513,0.1590909,nan,0,1
528179041,528178090,396817,-0.095454544,-0.29696968,0.12499999,nan,0,1
529163161,529162207,396817,-0.1371212,-0.29696968,0.07575757,nan,0,1
530169063,530168108,396817,-0.1280303,-0.29393938,0.06287879,nan,0,1
531174418,531173468,396817,-0.12575758,-0.29696968,0.06818181,nan,0,1
532179853,532178891,396817,-0.12424242,-0.30454543,0.086363636,nan,0,1
533164291,533163338,396817,-0.12272727,-0.31060606,0.07727273,nan,0,1
534169795,534168839,396817,-0.15303029,-0.305303,0.049999997,nan,0,1
535175192,535174172,396817,-0.12954545,-0.305303,0.07424242,nan,0,1
536181066,536180112,396817,-0.14242424,-0.32045454,0.05151515,nan,0,1
537165087,537164120,396817,-0.15303029,-0.330303,0.073484845,nan,0,1
538170481,538169518,396817,-0.14166667,-0.330303,0.070454545,nan,0,1
539176392,539175443,396817,-0.13257575,-0.33484846,0.111363634,nan,0,1
540181718,540180761,396817,-0.13333333,-0.32045454,0.08257575,nan,0,1
541165835,541164872,396817,-0.1340909,-0.29999998,0.0810606,nan,0,1
542171556,542170603,396817,-0.14696969,-0.31060606,0.028787877,nan,0,1
543177058,543176109,396817,-0.13333333,-0.3280303,0.0810606,nan,0,1
544183201,544182241,396817,-0.14469697,-0.3098485,0.10681818,nan,0,1
545167235,545166285,396817,-0.11969697,-0.3159091,0.043181818,nan,0,1
546172682,546171732,396817,-0.12651515,-0.31969696,0.061363634,nan,0,1
547178396,547177438,396817,-0.13257575,-0.3212121,0.041666664,nan,0,1
548183899,548182930,396817,-0.13181818,-0.3128788,0.08333333,nan,0,1
549167920,549166970,396817,-0.12878788,-0.32272726,0.07954545,nan,0,1
550173859,550172812,396817,-0.12878788,-0.31136364,0.071969695,nan,0,1
551179154,551178204,396817,-0.12499999,-0.31666666,0.057575755,nan,0,1
552184806,552183856,396817,-0.13257575,-0.30833334,0.06515151,nan,0,1
553169407,553168445,396817,-0.07272727,-0.2931818,0.12424242,nan,0,1
554174738,554173776,396817,-0.06515151,-0.31136364,0.15530303,nan,0,1
555180155,555179203,396817,-0.068939395,-0.3098485,0.14469697,nan,0,1
556164938,556163973,396817,-0.05909091,-0.29696968,0.15757576,nan,0,1
