timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,gyro_coning_vibration,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],temperature_accel,temperature_gyro
523319650,2162698,2162698,0,0,0,0,0,665.336,665.336,998.00397,7984.0317,0.0007874563,5.1430525e-05,2.7992615e-09,-0.2633176,-0.40384078,-9.944293,-0.0014929157,-0.0032127243,-0.002191769,45.28295,45.28295
524149418,2162698,2162698,0,0,0,0,0,665.336,665.336,998.00397,7984.0317,0.017419418,0.0012422259,5.2754865e-07,-0.18262601,-0.38132155,-9.806735,-0.003957304,-0.01234016,0.00078595243,45.28295,45.28295
525186594,2162698,2162698,0,0,0,0,0,665.336,665.336,998.00397,7984.0317,0.04018044,0.003987381,2.7394683e-06,-0.28821385,-0.38147753,-9.998218,0.0021673185,0.0075685717,-0.006582124,45.28295,45.28295
526223799,2162698,2162698,0,0,0,0,0,665.336,665.336,998.00397,7984.0317,0.056618437,0.005859179,6.7785804e-06,-0.23875101,-0.40389287,-9.958108,-0.020235393,-0.0068092775,-0.0032994933,45.14178,45.14178
527157293,2162698,2162698,0,0,0,0,0,665.336,665.336,998.00397,7984.0317,0.05181406,0.005840056,4.4862777e-06,-0.21834823,-0.41772026,-9.847625,-0.0021310374,-0.0122024985,-0.0032937042,45.1656,45.1656
528194471,2162698,2162698,0,0,0,0,0,665.336,665.336,998.00397,7984.0317,0.044212785,0.005171905,3.1071481e-06,-0.2926552,-0.49528915,-9.681127,-0.044776984,-0.01710169,-0.0027366206,45.229717,45.229717
529231729,2162698,2162698,0,0,0,0,0,665.336,665.336,998.00397,7984.0317,0.068169355,0.004771721,4.432382e-06,-0.07382866,0.14103082,-11.363571,0.14585967,0.10431404,0.03533115,45.188793,45.188793
530165125,2162698,2162698,0,0,0,0,0,665.336,665.336,998.00397,7984.0317,0.055657454,0.005522497,4.9675787e-06,-0.36815935,-0.19889376,-9.690286,0.21657176,-0.091705576,-0.019617466,45.216766,45.216766
531202331,2162698,2162698,0,0,0,0,0,665.336,665.336,998.00397,7984.0317,0.054949705,0.0059869187,4.3287423e-06,-0.26520866,-0.003089711,-9.414172,-0.039605066,0.012050277,0.010475616,45.190845,45.190845
532239526,2162698,2162698,0,0,0,0,0,665.336,665.336,998.00397,7984.0317,0.055695422,0.005810033,4.8983115e-06,-0.37001562,0.2036444,-10.761292,0.05586668,0.020003088,0.06595493,45.14178,45.14178
533173004,2162698,2162698,0,0,0,0,0,665.336,665.336,998.00397,7984.0317,0.05315007,0.0054631233,4.7773865e-06,-0.46791756,-0.06181708,-9.510252,0.38977817,0.3195765,-0.057618313,45.23794,45.23794
534210193,2162698,2162698,0,0,0,0,0,665.336,665.336,998.00397,7984.0317,0.051344804,0.0051489053,3.902221e-06,-0.36401278,-0.17932373,-9.906265,0.056194767,0.015193334,-0.072629176,45.09472,45.09472
535143666,2162698,2162698,0,0,0,0,0,665.336,665.336,998.00397,7984.0317,0.058552623,0.0058278153,4.4343737e-06,-0.400828,0.11524977,-9.78574,-0.04329297,0.115110114,-0.016819859,45.113155,45.113155
536180862,2162698,2162698,0,0,0,0,0,665.336,665.336,998.00397,7984.0317,0.052689828,0.0051542777,6.908354e-06,-0.35740274,-0.1404787,-10.427994,-1.1031266,0.038295925,0.04711982,45.035347,45.035347
537218132,2162698,2162698,0,0,0,0,0,665.336,665.336,998.00397,7984.0317,0.06488933,0.0058961683,7.672036e-06,-0.087152876,0.10055493,-9.393266,0.54449767,-0.16257206,0.012570763,45.14178,45.14178
538151531,2162698,2162698,0,0,0,0,0,665.336,665.336,998.00397,7984.0317,0.052861165,0.0047797356,4.6633295e-06,-0.114131026,-0.23442513,-9.549495,-0.07469898,0.009726757,-0.023741504,45.119263,45.119263
539188712,2162698,2162698,0,0,0,0,0,665.336,665.336,998.00397,7984.0317,0.0522774,0.0050174203,7.3838673e-06,-0.19126594,0.22645873,-9.658689,-0.19739607,-0.22254013,0.0027247872,45.055126,45.055126
540225903,2162698,2162698,0,0,0,0,0,665.336,665.336,998.00397,7984.0317,0.053125527,0.005725532,5.5770374e-06,-0.47631475,-0.13015589,-9.944449,-0.24686524,0.1586232,0.067744516,45.00056,45.00056
541159381,2162698,2162698,0,0,0,0,0,665.336,665.336,998.00397,7984.0317,0.0443481,0.005514584,5.2569567e-06,-0.22082917,0.31620657,-10.219664,0.5026422,0.11904308,-0.035770126,44.974014,44.974014
542196566,2162698,2162698,0,0,0,0,0,665.336,665.336,998.00397,7984.0317,0.045366984,0.005028007,5.7670745e-06,-0.04154162,0.09680748,-10.185712,0.4791189,0.07600926,0.07027451,44.822563,44.822563
543233774,2162698,2162698,0,0,0,0,0,665.336,665.336,998.00397,7984.0317,0.05248122,0.005165822,8.433374e-06,0.08358143,-0.6287397,-9.427078,-0.6454305,-0.0021886304,0.026484173,44.859394,44.859394
544167220,2162698,2162698,0,0,0,0,0,665.336,665.336,998.00397,7984.0317,0.052895732,0.005593609,7.2355247e-06,0.058511723,-0.081074774,-10.058698,0.45061854,-0.0261455,-0.030376894,44.890118,44.890118
545204507,2162698,2162698,0,0,0,0,0,665.336,665.336,998.00397,7984.0317,0.051145032,0.003907924,6.480105e-06,0.19876333,0.29681006,-9.978612,0.17299238,0.0018215533,-0.024167994,44.95355,44.95355
546241598,2162698,2162698,0,0,0,0,0,665.336,665.336,998.00397,7984.0317,0.053983558,0.0033783868,2.3072039e-06,0.20912084,-0.039748773,-10.113902,-0.111716904,-0.33379653,-0.018305829,44.906487,44.906487
547175086,2162698,2162698,0,0,0,0,0,665.336,665.336,998.00397,7984.0317,0.043601893,0.0028461323,3.2400342e-06,0.3579431,-0.19734976,-10.1108675,-0.10630825,-0.38687,-0.003637854,44.941273,44.941273
548212281,2162698,2162698,0,0,0,0,0,665.336,665.336,998.00397,7984.0317,0.055824634,0.003478062,2.0456305e-06,0.16200024,-0.018634662,-9.926791,-0.040402077,-0.05510835,0.003176367,44.81233,44.81233
549145769,2162698,2162698,0,0,0,0,0,665.336,665.336,998.00397,7984.0317,0.049663756,0.0035844138,2.1071278e-06,0.1382317,-0.13213372,-10.373868,-0.007725617,0.015606305,-0.015264416,44.834167,44.834167
550182913,2162698,2162698,0,0,0,0,0,665.336,665.336,998.00397,7984.0317,0.06208239,0.00420912,3.0439285e-06,0.2853363,-0.1575157,-8.542562,-0.053675435,-0.05328208,-0.05706767,44.898304,44.898304
551220101,2162698,2162698,0,0,0,0,0,665.336,665.336,998.00397,7984.0317,0.061773144,0.0039647743,3.2457158e-06,0.20129633,-0.41392088,-9.719416,-0.11870098,0.06341133,0.13309102,44.906487,44.906487
552153571,2162698,2162698,0,0,0,0,0,665.336,665.336,998.00397,7984.0317,0.05547352,0.003945673,4.252005e-06,0.17766666,-0.15838316,-9.761314,0.27476957,-0.30827135,-0.036554255,44.906487,44.906487
553190841,2162698,2162698,0,0,0,0,0,665.336,665.336,998.00397,7984.0317,0.054143146,0.0039459313,5.758596e-06,0.16213901,-0.32441583,-10.239738,0.14567761,-0.07651208,-0.0051386226,44.863483,44.863483
554227950,2162698,2162698,0,0,0,0,0,665.336,665.336,998.00397,7984.0317,0.027465252,0.0028951054,1.5433174e-06,-0.05306155,-0.43409812,-10.087516,0.009386159,0.011044843,-0.006061068,44.624096,44.624096
555161402,2162698,2162698,0,0,0,0,0,665.336,665.336,998.00397,7984.0317,0.032753643,0.0035454158,1.975546e-06,-0.020271366,-0.43663102,-10.094853,-0.020791825,-0.0017840117,-0.00555546,44.71417,44.71417
556198605,2162698,2162698,0,0,0,0,0,665.336,665.336,998.00397,7984.0317,0.034985945,0.0030494768,1.7613464e-06,-0.030646272,-0.42259544,-9.908695,-0.00019929092,0.0066403244,-0.005284641,44.718254,44.718254
