timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2]
523265700,-0.29680333,0.20851341,-0.0020303011,0.0,0.0,-0.001
523283830,-0.29699075,0.20880722,-0.0022988236,0.0,0.0,-0.001
523306255,-0.2973865,0.20739147,-0.0019060477,0.0,0.0,-0.001
523328883,-0.29631427,0.20907077,-0.002020622,0.0,0.0,-0.001
523346851,-0.29701832,0.20905885,-0.0018071829,0.0,0.0,-0.001
523364883,-0.29645774,0.20777845,-0.0020907465,0.0,0.0,-0.001
523387436,-0.2958473,0.20789698,-0.0016837883,0.0,0.0,-0.001
523405468,-0.2969011,0.20783153,-0.0018944548,0.0,0.0,-0.001
523423585,-0.2971722,0.20748727,-0.0020399967,0.0,0.0,-0.001
523446047,-0.29554838,0.20790283,-0.0017955925,0.0,0.0,-0.001
523468617,-0.2978119,0.20746987,-0.002097185,0.0,0.0,-0.001
523486710,-0.29698172,0.20826174,-0.0022982217,0.0,0.0,-0.001
523504702,-0.29669848,0.20896503,-0.0018809494,0.0,0.0,-0.001
523527266,-0.2963064,0.20815241,-0.0022883043,0.0,0.0,-0.001
523545258,-0.29759493,0.20808735,-0.002570851,0.0,0.0,-0.001
523563304,-0.29776546,0.20839614,-0.0015326721,0.0,0.0,-0.001
523585845,-0.2971523,0.20924869,-0.0026307367,0.0,0.0,-0.001
523608411,-0.29625186,0.20858373,-0.002128306,0.0,0.0,-0.001
523626435,-0.2972775,0.20935558,-0.0011020077,0.0,0.0,-0.001
523644522,-0.29692075,0.20767727,-0.002751131,0.0,0.0,-0.001
523667063,-0.29586476,0.20832475,-0.001566678,0.0,0.0,-0.001
523685057,-0.29711825,0.20849797,-0.0012897787,0.0,0.0,-0.001
523707821,-0.29603103,0.20931338,-0.0029487053,0.0,0.0,-0.001
523725653,-0.29775974,0.20948812,-0.0012010279,0.0,0.0,-0.001
523748293,-0.29454938,0.21156533,-0.002655311,0.0,0.0,-0.001
523766221,-0.2982644,0.20933892,-0.0019329002,0.0,0.0,-0.001
523784271,-0.2934772,0.2097401,-0.0013601617,0.0,0.0,-0.001
523806818,-0.29423425,0.20823845,-0.0026335432,0.0,0.0,-0.001
523829405,-0.29497927,0.20617248,-0.0015970209,0.0,0.0,-0.001
523847410,-0.2968872,0.21045107,-0.001537102,0.0,0.0,-0.001
523865511,-0.29335552,0.20995799,-0.002497817,0.0,0.0,-0.001
523887995,-0.29255068,0.2128106,-0.0021353082,0.0,0.0,-0.001
523906024,-0.29998264,0.20669831,-0.0023289982,0.0,0.0,-0.001
523924183,-0.29466757,0.20722626,-0.0024566457,0.0,0.0,-0.001
523946617,-0.29683214,0.21313302,-0.0019472741,0.0,0.0,-0.001
523969161,-0.29738438,0.2065951,-0.0017466141,0.0,0.0,-0.001
523987209,-0.29439935,0.20485666,-0.0020984544,0.0,0.0,-0.001
524009753,-0.298547,0.21394096,-0.0022139787,0.0,0.0,-0.001
524027917,-0.29743674,0.21019739,-0.0028302586,0.0,0.0,-0.001
524045809,-0.29272243,0.20257449,-0.001700635,0.0,0.0,-0.001
524063834,-0.29125273,0.2098537,-0.0023242822,0.0,0.0,-0.001
